,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Fri Mar 29 17:39:00 +0000 2019,Kim Harding,322224951,70,0,0,@AppStore Been trying to figure out all morning how to report an app for inappropriate ad content. The game is Bric… https://t.co/ZOPTsY2jrN
1,Tue Mar 26 00:51:58 +0000 2019,News Quantified,590052460,1838,0,0,"$CMCM  Total revenues rose by 1.8% year over year and 2.2% qtr over qtr ter to RMB1,381.2 M, stock ascends +3.55%… https://t.co/HFENzCO9vX"
2,Mon Mar 25 18:33:59 +0000 2019,Cheetah Mobile,3193429182,3466,0,0,"""Looking ahead, we are confident that our long-term growth prospects remain healthy and that our business will maxi… https://t.co/1MvQTKuwtw"
3,Mon Mar 25 16:40:26 +0000 2019,Cheetah Mobile,3193429182,3466,0,0,"""The average number of global mobile monthly active users (""Mobile MAUs"") was 470 million in the fourth quarter of… https://t.co/u0XZ4iFBdm"
4,Fri Mar 29 17:39:00 +0000 2019,Kim Harding,322224951,70,0,0,@AppStore Been trying to figure out all morning how to report an app for inappropriate ad content. The game is Bric… https://t.co/ZOPTsY2jrN
5,Tue Mar 26 00:51:58 +0000 2019,News Quantified,590052460,1838,0,0,"$CMCM  Total revenues rose by 1.8% year over year and 2.2% qtr over qtr ter to RMB1,381.2 M, stock ascends +3.55%… https://t.co/HFENzCO9vX"
6,Mon Mar 25 18:33:59 +0000 2019,Cheetah Mobile,3193429182,3466,0,0,"""Looking ahead, we are confident that our long-term growth prospects remain healthy and that our business will maxi… https://t.co/1MvQTKuwtw"
7,Mon Mar 25 16:40:26 +0000 2019,Cheetah Mobile,3193429182,3466,0,0,"""The average number of global mobile monthly active users (""Mobile MAUs"") was 470 million in the fourth quarter of… https://t.co/u0XZ4iFBdm"
8,Fri Mar 29 17:39:00 +0000 2019,Kim Harding,322224951,70,0,0,@AppStore Been trying to figure out all morning how to report an app for inappropriate ad content. The game is Bric… https://t.co/ZOPTsY2jrN
9,Tue Mar 26 00:51:58 +0000 2019,News Quantified,590052460,1838,0,0,"$CMCM  Total revenues rose by 1.8% year over year and 2.2% qtr over qtr ter to RMB1,381.2 M, stock ascends +3.55%… https://t.co/HFENzCO9vX"
10,Mon Mar 25 18:33:59 +0000 2019,Cheetah Mobile,3193429182,3466,0,0,"""Looking ahead, we are confident that our long-term growth prospects remain healthy and that our business will maxi… https://t.co/1MvQTKuwtw"
11,Mon Mar 25 16:40:26 +0000 2019,Cheetah Mobile,3193429182,3466,0,0,"""The average number of global mobile monthly active users (""Mobile MAUs"") was 470 million in the fourth quarter of… https://t.co/u0XZ4iFBdm"
12,Fri Mar 29 17:39:00 +0000 2019,Kim Harding,322224951,70,0,0,@AppStore Been trying to figure out all morning how to report an app for inappropriate ad content. The game is Bric… https://t.co/ZOPTsY2jrN
13,Tue Mar 26 00:51:58 +0000 2019,News Quantified,590052460,1838,0,0,"$CMCM  Total revenues rose by 1.8% year over year and 2.2% qtr over qtr ter to RMB1,381.2 M, stock ascends +3.55%… https://t.co/HFENzCO9vX"
