,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Wed Apr 03 23:46:47 +0000 2019,DRAXLER,999129036336099328,17,0,1,"RT @Eagle_LeagueCR: 🔼 ¡Se abren Inscripciónes para una copa de Clash Royale! 🔼

🔼 ¡Sigue estos requisitos para inscribir a tu equipo! 🔼

🔼…"
1,Wed Apr 03 23:29:04 +0000 2019,DS Mertalz,1044628518527750144,22,0,0,Currently Streaming @ClashRoyale and talking @ClashNights then end having @iiBawse in my chat who plays in DC Clash… https://t.co/FRBwKZ2KRP
2,Wed Apr 03 23:26:33 +0000 2019,Ayuda Jugador,1033487390147571712,4015,0,2,"RT @AEMoviles: Bueno, parece que hoy no habrá información.....

Había mucho hype ☹️

¿ #ClashRoyale están listos? https://t.co/mFahjQl6ed"
3,Wed Apr 03 23:26:05 +0000 2019,Eagle League CR,1097546946120699904,138,1,1,"🔼 ¡Se abren Inscripciónes para una copa de Clash Royale! 🔼

🔼 ¡Sigue estos requisitos para inscribir a tu equipo! 🔼… https://t.co/dGqjYUahhp"
4,Wed Apr 03 23:25:59 +0000 2019,TwitTheReality,2494423504,41,0,0,It's started 👉🏻👉🏻#clashroyale #ladder #golem #zap https://t.co/qERcf6Lkrh
5,Wed Apr 03 23:21:58 +0000 2019,eSports Ayuda,1112527167274057728,2,0,17,"RT @TopMexOficial: #ANUNCIO ⚠️

🔶 Estos serán los Premios a Ladder de esta Temporada!

¿Mas Info? Enviar Md📩
@TopMexOficial
@XylonCR
#Clash…"
6,Wed Apr 03 23:21:36 +0000 2019,eSports Ayuda,1112527167274057728,2,0,13,"RT @KingGamerCup: #Anuncio | #ClashRoyale 

¡Inscripciones abiertas 1ra edición! 

▪️Costo de la Inscripción: $2,65

▪️PrizePool: $60
▪️Cam…"
7,Wed Apr 03 23:21:09 +0000 2019,eSports Ayuda,1112527167274057728,2,0,5,"RT @mimikyuxps: Algún equipo para este noob hombre!! Soy más jugador ladder, juego poco por motivos de trabajo pero en fines le doy más, ac…"
8,Wed Apr 03 23:14:24 +0000 2019,Chelís,210887467,475,0,4,"RT @CometaTeam: Despedimos el día actualizando resultados de #ClashRoyale

🏆 @UTLeague1
¡VICTORIA!
@NeCOREgaming 0🆚 2 @CometaTeam 

🏆 @Zeus…"
9,Wed Apr 03 23:07:14 +0000 2019,Gaming Squad [2.7K],1049736556133699586,2725,0,4,"RT @CometaTeam: Despedimos el día actualizando resultados de #ClashRoyale

🏆 @UTLeague1
¡VICTORIA!
@NeCOREgaming 0🆚 2 @CometaTeam 

🏆 @Zeus…"
10,Wed Apr 03 23:06:06 +0000 2019,Gaming Squad [2.7K],1049736556133699586,2725,0,2,"RT @AEMoviles: Bueno, parece que hoy no habrá información.....

Había mucho hype ☹️

¿ #ClashRoyale están listos? https://t.co/mFahjQl6ed"
11,Wed Apr 03 23:02:54 +0000 2019,Gaming Squad [2.7K],1049736556133699586,2725,0,1,"RT @BraveHens: ⚠️ #MATCHDAY ⚠️

🎮#ClashRoyale🎮

📅 Miércoles, 3 de Abril
🕙 23:00 🇪🇸
🏆@CupSkeleton
📌Jornada 5
🆚@XpectrosCr

🐔Esperamos vuestr…"
12,Wed Apr 03 23:00:55 +0000 2019,[MV3] APOCALYPTOCF,817862577770340357,1066,0,17,"RT @MV3United: [#CLASHROYALE]🏹

🔹Victoria por 2-0🆚@QLASHcr_Academy que nos proclama como 3º clasificados en la @Alliance1League, gran compe…"
13,Wed Apr 03 22:59:26 +0000 2019,DeVictor19872,2164349455,6108,0,4,"RT @CometaTeam: Despedimos el día actualizando resultados de #ClashRoyale

🏆 @UTLeague1
¡VICTORIA!
@NeCOREgaming 0🆚 2 @CometaTeam 

🏆 @Zeus…"
14,Wed Apr 03 22:57:13 +0000 2019,Tenoqueo | CT☄,1101140715655086080,32,0,4,"RT @CometaTeam: Despedimos el día actualizando resultados de #ClashRoyale

🏆 @UTLeague1
¡VICTORIA!
@NeCOREgaming 0🆚 2 @CometaTeam 

🏆 @Zeus…"
15,Wed Apr 03 22:49:35 +0000 2019,Mini P.E.K.K.A,1098963401542225920,750,0,0,Pancakes...! #ClashRoyale
16,Wed Apr 03 22:45:45 +0000 2019,AEM,1107039557856432128,93,0,0,"#ClashRoyale llegamos tarde, pero cargados de sorpresas, les dejamos dos a elegir de que hablamos primero, voto en… https://t.co/tkf6sSrB1q"
17,Wed Apr 03 22:43:51 +0000 2019,Juan Carlos,1112997949334851584,5,0,1,RT @JuanCar50259285: #ClashRoyale https://t.co/gpY2wbJSMH
18,Wed Apr 03 22:43:46 +0000 2019,Juan Carlos,1112997949334851584,5,0,1,RT @JuanCar50259285: #ClashRoyale 🙄 https://t.co/pD1ixwJzv0
19,Wed Apr 03 22:42:09 +0000 2019,Joseph,1028461138210680837,0,0,0,@Clan #ClashRoyale Brand new active clan looking for members! “Liquid Paradox”
