,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Tue Mar 26 07:46:25 +0000 2019,♡Ivy Javaaa♡,634590496,598,0,3,RT @cleanma96732504: A chaque jour suffit sa peine..Merci a cette dame qui de passage à Douala a voulu rénover son sac par nos soins..sa jo…
1,Mon Mar 25 18:49:34 +0000 2019,mbabi Philchris,1078223353549414400,38,0,3,RT @cleanma96732504: A chaque jour suffit sa peine..Merci a cette dame qui de passage à Douala a voulu rénover son sac par nos soins..sa jo…
2,Mon Mar 25 18:44:14 +0000 2019,clean master,1108067498488987650,55,0,3,RT @cleanma96732504: A chaque jour suffit sa peine..Merci a cette dame qui de passage à Douala a voulu rénover son sac par nos soins..sa jo…
3,Mon Mar 25 18:43:49 +0000 2019,clean master,1108067498488987650,55,3,3,A chaque jour suffit sa peine..Merci a cette dame qui de passage à Douala a voulu rénover son sac par nos soins..sa… https://t.co/voXakjxqp4
4,Mon Mar 25 17:53:57 +0000 2019,LavanderiApp,1015722017264488449,40,0,0,"¿Sabías que #LavanderiApp la puedes descargar desde tu #Apple?
Ingresa ➡️ iOS https://t.co/9SWXOToeDp y descárgala… https://t.co/0WjrmiwlnZ"
5,Tue Mar 26 07:46:25 +0000 2019,♡Ivy Javaaa♡,634590496,598,0,3,RT @cleanma96732504: A chaque jour suffit sa peine..Merci a cette dame qui de passage à Douala a voulu rénover son sac par nos soins..sa jo…
6,Mon Mar 25 18:49:34 +0000 2019,mbabi Philchris,1078223353549414400,38,0,3,RT @cleanma96732504: A chaque jour suffit sa peine..Merci a cette dame qui de passage à Douala a voulu rénover son sac par nos soins..sa jo…
7,Mon Mar 25 18:44:14 +0000 2019,clean master,1108067498488987650,55,0,3,RT @cleanma96732504: A chaque jour suffit sa peine..Merci a cette dame qui de passage à Douala a voulu rénover son sac par nos soins..sa jo…
8,Mon Mar 25 18:43:49 +0000 2019,clean master,1108067498488987650,55,3,3,A chaque jour suffit sa peine..Merci a cette dame qui de passage à Douala a voulu rénover son sac par nos soins..sa… https://t.co/voXakjxqp4
9,Mon Mar 25 17:53:57 +0000 2019,LavanderiApp,1015722017264488449,40,0,0,"¿Sabías que #LavanderiApp la puedes descargar desde tu #Apple?
Ingresa ➡️ iOS https://t.co/9SWXOToeDp y descárgala… https://t.co/0WjrmiwlnZ"
10,Tue Mar 26 07:46:25 +0000 2019,♡Ivy Javaaa♡,634590496,598,0,3,RT @cleanma96732504: A chaque jour suffit sa peine..Merci a cette dame qui de passage à Douala a voulu rénover son sac par nos soins..sa jo…
11,Mon Mar 25 18:49:34 +0000 2019,mbabi Philchris,1078223353549414400,38,0,3,RT @cleanma96732504: A chaque jour suffit sa peine..Merci a cette dame qui de passage à Douala a voulu rénover son sac par nos soins..sa jo…
12,Mon Mar 25 18:44:14 +0000 2019,clean master,1108067498488987650,55,0,3,RT @cleanma96732504: A chaque jour suffit sa peine..Merci a cette dame qui de passage à Douala a voulu rénover son sac par nos soins..sa jo…
13,Mon Mar 25 18:43:49 +0000 2019,clean master,1108067498488987650,55,3,3,A chaque jour suffit sa peine..Merci a cette dame qui de passage à Douala a voulu rénover son sac par nos soins..sa… https://t.co/voXakjxqp4
14,Mon Mar 25 17:53:57 +0000 2019,LavanderiApp,1015722017264488449,40,0,0,"¿Sabías que #LavanderiApp la puedes descargar desde tu #Apple?
Ingresa ➡️ iOS https://t.co/9SWXOToeDp y descárgala… https://t.co/0WjrmiwlnZ"
15,Tue Mar 26 07:46:25 +0000 2019,♡Ivy Javaaa♡,634590496,598,0,3,RT @cleanma96732504: A chaque jour suffit sa peine..Merci a cette dame qui de passage à Douala a voulu rénover son sac par nos soins..sa jo…
16,Mon Mar 25 18:49:34 +0000 2019,mbabi Philchris,1078223353549414400,38,0,3,RT @cleanma96732504: A chaque jour suffit sa peine..Merci a cette dame qui de passage à Douala a voulu rénover son sac par nos soins..sa jo…
17,Mon Mar 25 18:44:14 +0000 2019,clean master,1108067498488987650,55,0,3,RT @cleanma96732504: A chaque jour suffit sa peine..Merci a cette dame qui de passage à Douala a voulu rénover son sac par nos soins..sa jo…
18,Mon Mar 25 18:43:49 +0000 2019,clean master,1108067498488987650,55,3,3,A chaque jour suffit sa peine..Merci a cette dame qui de passage à Douala a voulu rénover son sac par nos soins..sa… https://t.co/voXakjxqp4
19,Mon Mar 25 17:53:57 +0000 2019,LavanderiApp,1015722017264488449,40,0,0,"¿Sabías que #LavanderiApp la puedes descargar desde tu #Apple?
Ingresa ➡️ iOS https://t.co/9SWXOToeDp y descárgala… https://t.co/0WjrmiwlnZ"
20,Tue Mar 26 07:46:25 +0000 2019,♡Ivy Javaaa♡,634590496,598,0,3,RT @cleanma96732504: A chaque jour suffit sa peine..Merci a cette dame qui de passage à Douala a voulu rénover son sac par nos soins..sa jo…
21,Mon Mar 25 18:49:34 +0000 2019,mbabi Philchris,1078223353549414400,38,0,3,RT @cleanma96732504: A chaque jour suffit sa peine..Merci a cette dame qui de passage à Douala a voulu rénover son sac par nos soins..sa jo…
22,Mon Mar 25 18:44:14 +0000 2019,clean master,1108067498488987650,55,0,3,RT @cleanma96732504: A chaque jour suffit sa peine..Merci a cette dame qui de passage à Douala a voulu rénover son sac par nos soins..sa jo…
23,Mon Mar 25 18:43:49 +0000 2019,clean master,1108067498488987650,55,3,3,A chaque jour suffit sa peine..Merci a cette dame qui de passage à Douala a voulu rénover son sac par nos soins..sa… https://t.co/voXakjxqp4
24,Mon Mar 25 17:53:57 +0000 2019,LavanderiApp,1015722017264488449,40,0,0,"¿Sabías que #LavanderiApp la puedes descargar desde tu #Apple?
Ingresa ➡️ iOS https://t.co/9SWXOToeDp y descárgala… https://t.co/0WjrmiwlnZ"
25,Tue Mar 26 07:46:25 +0000 2019,♡Ivy Javaaa♡,634590496,598,0,3,RT @cleanma96732504: A chaque jour suffit sa peine..Merci a cette dame qui de passage à Douala a voulu rénover son sac par nos soins..sa jo…
26,Mon Mar 25 18:49:34 +0000 2019,mbabi Philchris,1078223353549414400,38,0,3,RT @cleanma96732504: A chaque jour suffit sa peine..Merci a cette dame qui de passage à Douala a voulu rénover son sac par nos soins..sa jo…
27,Mon Mar 25 18:44:14 +0000 2019,clean master,1108067498488987650,55,0,3,RT @cleanma96732504: A chaque jour suffit sa peine..Merci a cette dame qui de passage à Douala a voulu rénover son sac par nos soins..sa jo…
28,Mon Mar 25 18:43:49 +0000 2019,clean master,1108067498488987650,55,3,3,A chaque jour suffit sa peine..Merci a cette dame qui de passage à Douala a voulu rénover son sac par nos soins..sa… https://t.co/voXakjxqp4
29,Mon Mar 25 17:53:57 +0000 2019,LavanderiApp,1015722017264488449,40,0,0,"¿Sabías que #LavanderiApp la puedes descargar desde tu #Apple?
Ingresa ➡️ iOS https://t.co/9SWXOToeDp y descárgala… https://t.co/0WjrmiwlnZ"
30,Tue Mar 26 07:46:25 +0000 2019,♡Ivy Javaaa♡,634590496,598,0,3,RT @cleanma96732504: A chaque jour suffit sa peine..Merci a cette dame qui de passage à Douala a voulu rénover son sac par nos soins..sa jo…
31,Mon Mar 25 18:49:34 +0000 2019,mbabi Philchris,1078223353549414400,38,0,3,RT @cleanma96732504: A chaque jour suffit sa peine..Merci a cette dame qui de passage à Douala a voulu rénover son sac par nos soins..sa jo…
