,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Wed Apr 03 17:02:57 +0000 2019,Quality GameDev Retweets,972979225958297600,3958,0,4,"RT @sybogames: Hippity-hoppity! 🐰 It's time to leave sunny San Francisco. 🌞✌ Get ready, the new update is coming... VERY SOON! ⛰️🌷 #subways…"
1,Wed Apr 03 16:03:08 +0000 2019,Game Dev Bot,89346624,4068,0,4,"RT @sybogames: Hippity-hoppity! 🐰 It's time to leave sunny San Francisco. 🌞✌ Get ready, the new update is coming... VERY SOON! ⛰️🌷 #subways…"
2,Wed Apr 03 16:02:49 +0000 2019,محمد ثقيف,1074247982449487872,5,0,4,"RT @sybogames: Hippity-hoppity! 🐰 It's time to leave sunny San Francisco. 🌞✌ Get ready, the new update is coming... VERY SOON! ⛰️🌷 #subways…"
3,Wed Apr 03 16:00:40 +0000 2019,SYBO,119420465,751348,27,4,"Hippity-hoppity! 🐰 It's time to leave sunny San Francisco. 🌞✌ Get ready, the new update is coming... VERY SOON! ⛰️🌷… https://t.co/9zjnlRKFOc"
4,Wed Apr 03 03:17:57 +0000 2019,Ia Marzan,1070980164731863042,13,0,3,RT @sybogames: ONE HUNDRED updates. ONE GROUP of wild and fun friends from around the world. 🌎🌍🌏 But who's THE ONE? Grab a screenshot and f…
5,Tue Apr 02 18:56:20 +0000 2019,Dogxy,898950407749238784,6,0,3,RT @sybogames: ONE HUNDRED updates. ONE GROUP of wild and fun friends from around the world. 🌎🌍🌏 But who's THE ONE? Grab a screenshot and f…
6,Tue Apr 02 17:16:44 +0000 2019,مممم,1108673269413089280,0,0,6,RT @KilooGames: If you can't get enough of the new #SubwaySurfers Holiday Music... check this out! ❄️🎵 https://t.co/98IrCj3uzl
7,Tue Apr 02 16:52:08 +0000 2019,Jodie,935705405459546112,17,0,3,RT @sybogames: ONE HUNDRED updates. ONE GROUP of wild and fun friends from around the world. 🌎🌍🌏 But who's THE ONE? Grab a screenshot and f…
8,Tue Apr 02 16:00:23 +0000 2019,SYBO,119420465,751348,38,3,ONE HUNDRED updates. ONE GROUP of wild and fun friends from around the world. 🌎🌍🌏 But who's THE ONE? Grab a screens… https://t.co/KiKgQbTwr7
9,Mon Apr 01 15:00:39 +0000 2019,SYBO,119420465,751348,28,1,Move over King! There's a new QUEEN in town. 👑 Get a sneak peek of the newest character to join Subway Surfers - on… https://t.co/mGIuxboceO
10,Mon Apr 01 06:28:44 +0000 2019,Auto One Browns,3021061902,35,1,0,"🤣 Beat Fresh 😜

#subwaysandwich #streetphotography #subway #subwayphotography #subwaypeople #subwaylife #subways… https://t.co/jzZwdjPl0B"
11,Sun Mar 31 13:48:14 +0000 2019,Game Dev Bot,89346624,4068,0,4,"RT @sybogames: #ConceptClass 6: From pencil to pixel, it's the Pixel Heart hoverboard! 😍 Don't let it break your #heart - get it before it'…"
12,Sun Mar 31 13:47:55 +0000 2019,Joe Leo Chai,904701656855527425,13,0,4,"RT @sybogames: #ConceptClass 6: From pencil to pixel, it's the Pixel Heart hoverboard! 😍 Don't let it break your #heart - get it before it'…"
13,Sun Mar 31 10:04:12 +0000 2019,diogoquintas,3412820567,282,0,4,"RT @sybogames: #ConceptClass 6: From pencil to pixel, it's the Pixel Heart hoverboard! 😍 Don't let it break your #heart - get it before it'…"
14,Sun Mar 31 10:00:13 +0000 2019,SYBO,119420465,751348,30,4,"#ConceptClass 6: From pencil to pixel, it's the Pixel Heart hoverboard! 😍 Don't let it break your #heart - get it b… https://t.co/QMgsXwkdxC"
15,Sun Mar 31 04:52:05 +0000 2019,Riya_18181,1105890490413711362,4,1,0,OMG today is my lucky day I am on the diamond list in #subwaysurfers https://t.co/qecdkKk4U1
16,Sat Mar 30 16:53:12 +0000 2019,M.,3089480948,1162,2,0,#SubwaySurfers #Ludo #BubbleShooter my life these days 😏 https://t.co/ZFyZ9sj3T0
17,Sat Mar 30 08:18:44 +0000 2019,Ia Marzan,1070980164731863042,13,0,3,RT @sybogames: The contest is over! Thank you to EVERYONE who participated. You did an amazing job and we can't wait to feature your badass…
18,Sat Mar 30 04:35:48 +0000 2019,Nick Dullanak,2887574698,56,1,0,"[WIP 25%]

.
#wip #sketch #sketchbook #missmaia #subwaysurfers #art #drawing #draw #games #fanart #artistoninstagram https://t.co/wNUGh29Is0"
19,Fri Mar 29 18:04:01 +0000 2019,Ekaterina Novikova,941004259537162245,55,0,3,RT @sybogames: The contest is over! Thank you to EVERYONE who participated. You did an amazing job and we can't wait to feature your badass…
