,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Wed Apr 03 17:14:51 +0000 2019,Laxman Manjunath,4881496774,107,0,0,@VakilBharati @hindustanse @SarojShrnM @iPoojaGoswami @iPuneetSharma @narendramodi @AmitShah @amitmalviya… https://t.co/zkqHD6oqBA
1,Wed Apr 03 17:14:38 +0000 2019,Christophe D.,472319557,503,0,8,"RT @reesmarc: @franckriester @Twitter @facebook Problème posé.
Solution : publiez vos campagnes sur Facebook, non sur Twitter. 
Problème ré…"
2,Wed Apr 03 17:14:34 +0000 2019,Austin Petersen,4686170306,59441,0,0,@Steffi_Cole @facebook https://t.co/5k0AWG6rbC
3,Wed Apr 03 17:14:32 +0000 2019,Bunny 🐰🎮,803428423,1668,0,0,@GillesBone @facebook I'm in no way defending Facebook because they should've been able to use better context to fi… https://t.co/LL2ddDVZYE
4,Wed Apr 03 17:14:31 +0000 2019,CeeTalks 🏳️‍🌈,62862203,3524,0,0,@FidaKfida @facebook im not the one getting married 😂
5,Wed Apr 03 17:14:23 +0000 2019,Erik Qualman,11148342,100074,0,0,"Are you a sucker for Zucker-berg... news? On Saturday, Mark Zuckerberg (@facebook) released an opinion piece outlin… https://t.co/EjI0rJE36H"
6,Wed Apr 03 17:14:12 +0000 2019,Teem Heekey,68378642,3731,0,8,"RT @AP4Liberty: I've just been banned from @facebook for three days for this comment, which is considered  ""graphic violence."" https://t.co…"
7,Wed Apr 03 17:14:06 +0000 2019,Steffi,2314815715,6430,0,8,"RT @AP4Liberty: I've just been banned from @facebook for three days for this comment, which is considered  ""graphic violence."" https://t.co…"
8,Wed Apr 03 17:14:02 +0000 2019,Ángel Manuel García,52778002,2873,0,0,@AP4Liberty @facebook As usual at DEMSbook...
9,Wed Apr 03 17:14:00 +0000 2019,Steffi,2314815715,6430,1,0,@AP4Liberty @facebook Omg! What! Your personal and public accounts?
10,Wed Apr 03 17:13:54 +0000 2019,Scorp125,3044677018,63,0,2,RT @UndefinedSide: @wykop A Francuska Agencja Prasowa od wczoraj wdrożyła umowę z @Facebook na kontrolę nad polsko-języczną treścią. Będą w…
11,Wed Apr 03 17:13:45 +0000 2019,Jessica Moran,59545121,208,0,45,"RT @gunsdownamerica: After emails revealed that an @NRA employee encouraged a Sandy Hook hoaxer to look into Parkland, @fred_guttenberg joi…"
12,Wed Apr 03 17:13:45 +0000 2019,Conor Martin,3034642649,578,0,0,@AP4Liberty @facebook Will do boss
13,Wed Apr 03 17:13:37 +0000 2019,Cybba Inc.,932738696,1446,0,0,"For @adage, our goals were to drive new traffic and convert users through @facebook and @instagram #goingdigital https://t.co/KZwuWsNxGF"
