,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Wed Apr 03 22:27:09 +0000 2019,Karee❤,1039543098991407105,79,0,12,RT @randygonzalez81: #3deAbril Ya Sigues A Mhoni En Sus Cuentas Verificadas Te Invito #MhoniFans #MiercolesdeMhoni #FaceBook #YouTube #Twit…
1,Wed Apr 03 22:27:09 +0000 2019,Rikki Aresu,73530764,191,0,0,Que impotencia...no controlo el #Instagram... 😥...pero bueno hace unos meses tampoco twitter...
2,Wed Apr 03 22:27:00 +0000 2019,David Leslie,2824040920,23,0,0,I love the fate am a filmmaker and youtuber. I love that we have a platform to be both creative and we can express… https://t.co/1sWWotJlft
3,Wed Apr 03 22:26:53 +0000 2019,綱島ボブルヘッズ,142988874,2603,0,0,"20190331 vs Slammers KENDALL
#slowpitch #slowpitchsoftball #swag #smile #awesome #friends #fun #picoftheday… https://t.co/HUdP3JzHOK"
4,Wed Apr 03 22:26:31 +0000 2019,Maureen Patrone,3318898525,161,0,309,RT @MinaANDMaya: #Instagram model #Keevonna C’Ante Wilson gets slap on the wrist after kicking pup. Accepted plea deal when charged with fe…
5,Wed Apr 03 22:25:49 +0000 2019,World Islamic,3608897112,18,0,0,#allah #islam #muslim #prayer #jannah #salah #makkah #medina #kaaba #muslimah #loveislam #quotes #instaislam… https://t.co/0kw6kjK6Sw
6,Wed Apr 03 22:25:37 +0000 2019,"George Fradelos, PhD",354957945,1935,0,0,"#Catch up with the #composer of SP3 Georgios Fradelos,PhD  @GFradelos on #instagram https://t.co/ChaWlWwyTO https://t.co/77rT1CpxlX"
7,Wed Apr 03 22:25:04 +0000 2019,Espíritu Soñador,2407727767,115,0,0,"😂😂😂
Te amo pitodiego 

Abracadabra 😍😍😂😂

#colombia 
#colombianadas 
#challenge 

#instagram #facebook en Colombia https://t.co/jgZdMimHnV"
8,Wed Apr 03 22:25:04 +0000 2019,"A&K STUDIO CO.,LTD.",296084093,484,1,0,"おはようございます。
四国４県こまちウェディングラボ人気ランキング2位!!　

#四国４県アクセスランキング2位 #こまちウェディング #こまちウェディングラボ #愛媛前撮り #プレ花嫁 #撮影依頼歓迎 #ウェディング… https://t.co/qNm4SUTlnX"
9,Wed Apr 03 22:25:02 +0000 2019,Freelancer Nasir U.,140024645,16576,0,1,RT @travending: #instagood #instagram #travel #traveling #explore
10,Wed Apr 03 22:24:37 +0000 2019,Critics 3.0,65633901,83,1,0,"Grilled salmon, steamed veggies and brown rice for lunch...  how about you?  #thankful #blessed #salmon #instagram… https://t.co/CzxBbtwkrN"
11,Wed Apr 03 22:24:36 +0000 2019,Jasmin Kessler,75345283,289,0,0,PLEASE HELP! @instagram #instagram https://t.co/vCwJqVOR9b
12,Wed Apr 03 22:24:30 +0000 2019,Mark Beal,197523654,1259,0,0,"""There is a danger for #brands that straddle the line between “uncool” and “cool” when it comes to #marketing. Bran… https://t.co/OAygYp58al"
13,Wed Apr 03 22:24:15 +0000 2019,カッパ寿司,868320501281701888,153,0,1,"RT @reisuzumi: てか、盗撮しまくりやん！
Instagramにもうあがってるし。
ほんまマナーしらずのマスター達とカメラ小僧達。。。
#SEVEENTEEN #instagram  #outCARAT https://t.co/2UXFq32axa"
14,Wed Apr 03 22:24:08 +0000 2019,MDC MAGAZINE,339934415,2443,0,1,RT @SnacksMarketing: Vivimos en la era de las distracciones. Muchas de ellas productivas y otras netamente improductivas. ¿Cuántos de usted…
15,Wed Apr 03 22:23:41 +0000 2019,VJ Vass,1314835364,550,0,309,RT @MinaANDMaya: #Instagram model #Keevonna C’Ante Wilson gets slap on the wrist after kicking pup. Accepted plea deal when charged with fe…
16,Wed Apr 03 22:23:35 +0000 2019,CARS,2704899954,9717,0,0,"The 2020 Jeep Gladiator Has Been Priced, and You’re Gonna Need $35K

https://t.co/CsqLbG8Nce

#mercedesbenz #mk #honda #drive #instagram"
17,Wed Apr 03 22:23:21 +0000 2019,Christina D 👨‍👩‍👧🌻🐶,1100197005966655489,2802,0,17,"RT @BriannaHigdon: Instagram follow train😍

DO NOT follow if you are going to unfollow! Not cool!

-Like and RT this tweet
-Drop your link…"
18,Wed Apr 03 22:23:05 +0000 2019,Startup News,3119319822,2415,0,1,"RT @GlobalSkyler: Daily Quotes .
.
.
#business #entrepreneur #success #motivation #marketing #money #love #entrepreneurship #inspiration #l…"
19,Wed Apr 03 22:22:43 +0000 2019,Humayun Kabir,4859821667,1263,1,0,Love yourself. It is important to stay positive because beauty comes from the inside out. #Instagram #marketing… https://t.co/NuCsGhN7FC
20,Wed Apr 03 22:22:28 +0000 2019,FANs.Club.Rosa.Lopez,177666162,672,1,0,#5 #VivaPop10 31 MAR - 06 ABR 2019 Vota por 'Ahora sé quién soy' @RosaLopez con 1 Follow en las #RRSS de… https://t.co/7nxMUFJ5f8
