,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Wed Apr 03 18:00:50 +0000 2019,taiche,26701241,2480,0,0,#Lesbian #Kiss #ArtNouveau Style #PhotographicPrints  @redbubble A wonderful #painting and #gift for #women in… https://t.co/V0PouxtJ8Y
1,Wed Apr 03 17:59:34 +0000 2019,Hot_Products,1003898407365300225,5075,0,7,RT @OkroguLes: https://t.co/VW9qiCQOc4 via @pinterest
2,Wed Apr 03 17:59:25 +0000 2019,Niloo Farmand,3982201215,27,0,0,Hey @Pinterest I’ve unsubscribed from your emails 6 times and I’m still getting them.  Shall I report you as GDPR n… https://t.co/0l46NlxeXk
3,Wed Apr 03 17:58:13 +0000 2019,taiche,26701241,2480,0,0,#Lips That Touch #Liquor Shall Not Touch Ours #Poster @Zazzle #customproducts #ATSocialMedia    #Accessories  #Art… https://t.co/ygrg0QQY5D
4,Wed Apr 03 17:57:35 +0000 2019,BishopMeldinaTaswell,275892884,893,0,0,https://t.co/PqmtvvBufQ via @pinterest
5,Wed Apr 03 17:56:04 +0000 2019,Adam Kempshall,1105568310278664192,5,0,0,"@della71 @Pinterest Pinterest, Twitter makes some sense, pinterest is confusing"
6,Wed Apr 03 17:55:04 +0000 2019,Andromeda Beauty,19330585,2079,0,0,Jannis Niewöhner https://t.co/cHXzNbuFLY via @pinterest
7,Wed Apr 03 17:52:31 +0000 2019,BLynne,70576926,83,0,0,@Pinterest can't get into my account and it has at all and I reinstalled it and now it can't even find my account! What is going on?
8,Wed Apr 03 17:52:03 +0000 2019,Amycanbe,26590693,1800,0,0,#musicweek #feature #remix #newtrack #brandnew #grano #grain #flow #plati #producers #cheers https://t.co/5M0Ime0a0F via @pinterest
9,Wed Apr 03 17:50:00 +0000 2019,Ditch That Textbook,481244943,17424,3,0,"Do you follow Ditch That Textbook on 📌 @Pinterest? 

We have lots of boards with useful pins just waiting for you!… https://t.co/IEAT9IPiCZ"
10,Wed Apr 03 17:46:46 +0000 2019,j,2836428607,79,0,0,@Pinterest
11,Wed Apr 03 17:39:28 +0000 2019,☆☆☆↓Oscar///Ξnrique,149868359,173,1,0,@KBejman @breinholst @Pinterest @paulebh0y @pin_069 Wallpapers please 😓
12,Wed Apr 03 17:38:49 +0000 2019,Yago Dawkins,2560652344,33,0,0,"Esse é o anuncio que aparece pra mim, do @Pinterest https://t.co/mS1R2NQv57"
13,Wed Apr 03 17:38:43 +0000 2019,SERVICE SOFA BANDUNG TLP/WA.0822-1919-1671,962014328772689920,470,1,0,Service Sofa Bandung Tlp.0822-1919-1671.Wa.08977518585 – JASA SERVICE KURSI/SOFA DI BANDUNG TLP.0822-1919-1671.WA.0… https://t.co/xeTvXPISqy
14,Wed Apr 03 17:37:33 +0000 2019,Paredes Home,1057773612785053696,124,0,0,https://t.co/lPFz3CR3WV via @pinterest
15,Wed Apr 03 17:37:20 +0000 2019,Mini New Yorker 🍂,211906285,643,0,0,@MumsnetBloggers I have a @Pinterest addiction! I love it! 📍📍📍📍📍📍📍📍
16,Wed Apr 03 17:37:09 +0000 2019,Paredes Home,1057773612785053696,124,0,0,https://t.co/TCflHxkra3 via @pinterest
17,Wed Apr 03 17:36:59 +0000 2019,Paredes Home,1057773612785053696,124,0,0,https://t.co/c36FokQAd2 via @pinterest
18,Wed Apr 03 17:36:50 +0000 2019,Paredes Home,1057773612785053696,124,0,0,https://t.co/KNblAuSowz via @pinterest
19,Wed Apr 03 17:35:12 +0000 2019,Paredes Home,1057773612785053696,124,0,0,https://t.co/9cNqEppd51 via @pinterest
20,Wed Apr 03 17:34:54 +0000 2019,Paredes Home,1057773612785053696,124,0,0,https://t.co/CEuwKihG2J via @pinterest
21,Wed Apr 03 17:34:46 +0000 2019,Paredes Home,1057773612785053696,124,0,0,https://t.co/YgS6bc73tT via @pinterest
22,Wed Apr 03 17:34:18 +0000 2019,Maria Acabado,216500673,123,0,0,https://t.co/MVMuQm7AKk via @pinterest
23,Wed Apr 03 17:34:08 +0000 2019,sowa,10474692,96,0,0,Whisky flok inbid fil kalci tal ARcisqof https://t.co/jilfxO7qAe Scicluna  Malta: Whisky zamiast wina w kościele. K… https://t.co/ou0MzuVKul
