,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Wed Apr 03 18:39:59 +0000 2019,It's so cold ...,718360155881107457,21,0,0,"@outofcontxtAB @AngryBirds well, do you mind if I contribute some :) ???"
1,Wed Apr 03 18:36:24 +0000 2019,Captain Conker Diamond,1092963824724922371,9,0,113,RT @AngryBirds: @nocontxtsonic 😘 https://t.co/hZvs0VPW2H
2,Wed Apr 03 18:08:10 +0000 2019,Brandon,2764719670,54,0,0,@AngryBirds @nocontxtsonic https://t.co/PzmTCIvMJP
3,Wed Apr 03 17:43:15 +0000 2019,PikaSalt,1270461625,39,0,113,RT @AngryBirds: @nocontxtsonic 😘 https://t.co/hZvs0VPW2H
4,Wed Apr 03 17:42:53 +0000 2019,Mīğhțý Řęđ ßïŕđ,3065302962,450,1,0,@brennanhorn3 @AngryBirds @TiffanyArtist56 I've been her close friend for a long time
5,Wed Apr 03 17:34:26 +0000 2019,brennan horn,1049422229681844224,18,1,0,"@Mighty_Red_Bird @AngryBirds @TiffanyArtist56 Subscribe, watch, follow, and be friends to who you mentioned: She is… https://t.co/SmGg3jJgX9"
6,Wed Apr 03 17:19:20 +0000 2019,Mīğhțý Řęđ ßïŕđ,3065302962,450,1,0,@nocontxtAB @Mighty_Chuck @AngryBirds Ha!
7,Wed Apr 03 17:18:33 +0000 2019,Out of context Angry Birds,1113460075354644480,6,0,0,@Mighty_Chuck @AngryBirds We already did that.
8,Wed Apr 03 17:16:00 +0000 2019,Matt,1074399992499060736,35,0,113,RT @AngryBirds: @nocontxtsonic 😘 https://t.co/hZvs0VPW2H
9,Wed Apr 03 17:01:41 +0000 2019,Springlock,967472649072005121,90,0,113,RT @AngryBirds: @nocontxtsonic 😘 https://t.co/hZvs0VPW2H
10,Wed Apr 03 16:45:44 +0000 2019,🧜🏻‍♂️,743413689420812288,87,0,9,RT @AngryBirds: We're getting into the swing of spring in #AngryBirdsMatch! ☘️🌱🌸 Hop into the Cherry Blossom event and complete the quests…
11,Wed Apr 03 16:45:04 +0000 2019,🧜🏻‍♂️,743413689420812288,87,0,8,RT @AngryBirds: Who wouldn't love this green thumb?! 🥰 Votes are IN and 51% thought Sunny with her gardening outfit is a real heart melter!…
12,Wed Apr 03 16:44:40 +0000 2019,🧜🏻‍♂️,743413689420812288,87,0,16,RT @AngryBirds: Tag a friend who deserves a smile today! 😊 Happy International Day of Happiness! 🥰 #InternationalDayOfHappiness https://t.c…
13,Wed Apr 03 16:32:57 +0000 2019,RED X CHUCK FOREVER,2429699042,243,5,1,@AngryBirds she wuvs her natural feather style :V 💚💛 #angrybirds #AngryBirdsMovie2 https://t.co/VKpqtoYmWJ
14,Wed Apr 03 15:59:50 +0000 2019,Adam IDK,979140366044577792,23,0,113,RT @AngryBirds: @nocontxtsonic 😘 https://t.co/hZvs0VPW2H
15,Wed Apr 03 15:58:06 +0000 2019,It's so cold ...,718360155881107457,21,1,0,"Hey @AngryBirds, mind if I make a ""No context/Out of context Angry birds"" account ???"
16,Wed Apr 03 15:50:12 +0000 2019,No Context RadicalSoda,1102097920688500736,261,0,113,RT @AngryBirds: @nocontxtsonic 😘 https://t.co/hZvs0VPW2H
17,Wed Apr 03 15:46:07 +0000 2019,🤔,3064347633,859,0,4,"RT @_camaroqueen: Time to draw!
@AngryBirds @JohnCohen1 https://t.co/hzhEfUwKWc"
18,Wed Apr 03 15:43:18 +0000 2019,.+ Yami +.,2787700593,402,0,0,@_camaroqueen @AngryBirds @JohnCohen1 I love your coloring~!! *v*👌👌👌💕
19,Wed Apr 03 15:36:44 +0000 2019,+Mr-Stevie,893954738579841024,30,0,113,RT @AngryBirds: @nocontxtsonic 😘 https://t.co/hZvs0VPW2H
20,Wed Apr 03 15:34:06 +0000 2019,Ghost Doll,1015293156781420545,47,0,113,RT @AngryBirds: @nocontxtsonic 😘 https://t.co/hZvs0VPW2H
21,Wed Apr 03 15:32:21 +0000 2019,BlueSpheres07,783352558991446016,555,0,113,RT @AngryBirds: @nocontxtsonic 😘 https://t.co/hZvs0VPW2H
22,Wed Apr 03 15:26:02 +0000 2019,GHOSTΞHEAD (Commissions closed atm),801820645076193281,43,0,113,RT @AngryBirds: @nocontxtsonic 😘 https://t.co/hZvs0VPW2H
23,Wed Apr 03 15:18:22 +0000 2019,Alex #TeamSobble,1083118672611295232,11,0,113,RT @AngryBirds: @nocontxtsonic 😘 https://t.co/hZvs0VPW2H
