,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Sat Mar 30 00:22:17 +0000 2019,Ferdinand Duya,1038216836662231040,17,0,0,"This Is My New Best In Faded By @IAmAlanWalker In @pianotiles2cm By @CheetahMobile ! Thank You!
#PianoTiles2 https://t.co/CxLCz68fLo"
1,Tue Mar 26 09:11:10 +0000 2019,Volanews,1069502003821260805,25,0,0,@CheetahMobile  HAS A TOTAL REVENUE OF 5 BILLION YUAN AND A NET PROFIT OF 1.3 BILLION YUAN IN 2018… https://t.co/7jc2w4ZGg0
2,Tue Mar 26 09:11:04 +0000 2019,Volanews,1069502003821260805,25,0,0,@CheetahMobile  HAS A TOTAL REVENUE OF 5 BILLION YUAN AND A NET PROFIT OF 1.3 BILLION YUAN IN 2018… https://t.co/XcDAiKqGdY
3,Tue Mar 26 09:10:40 +0000 2019,Volanews Iran,1094853441623605248,5,0,0,@CheetahMobile  HAS A TOTAL REVENUE OF 5 BILLION YUAN AND A NET PROFIT OF 1.3 BILLION YUAN IN 2018… https://t.co/XvMN1xAymE
4,Tue Mar 26 09:10:13 +0000 2019,Volanews Israel,1094865044909756417,4,0,0,@CheetahMobile  HAS A TOTAL REVENUE OF 5 BILLION YUAN AND A NET PROFIT OF 1.3 BILLION YUAN IN 2018… https://t.co/FDOgRVMUD0
5,Tue Mar 26 09:07:19 +0000 2019,Volanews Indonesia,1094851269557137414,5,0,0,@CheetahMobile  HAS A TOTAL REVENUE OF 5 BILLION YUAN AND A NET PROFIT OF 1.3 BILLION YUAN IN 2018… https://t.co/tuXsY9VxqU
6,Tue Mar 26 09:04:09 +0000 2019,Volanews Egypt,1072073474598854656,12,0,0,@CheetahMobile  HAS A TOTAL REVENUE OF 5 BILLION YUAN AND A NET PROFIT OF 1.3 BILLION YUAN IN 2018… https://t.co/bIYp4ushBY
7,Tue Mar 26 09:03:56 +0000 2019,Volanews Middle East,1072057389308768257,10,0,0,@CheetahMobile  HAS A TOTAL REVENUE OF 5 BILLION YUAN AND A NET PROFIT OF 1.3 BILLION YUAN IN 2018… https://t.co/F55bGZuMyd
8,Tue Mar 26 09:02:04 +0000 2019,Volanews Saudi Arabia,1072075553518235648,12,0,0,@CheetahMobile  HAS A TOTAL REVENUE OF 5 BILLION YUAN AND A NET PROFIT OF 1.3 BILLION YUAN IN 2018… https://t.co/EerEyESM8j
9,Tue Mar 26 09:00:08 +0000 2019,Volanews SoutheastAsia,1094852672409227264,6,0,0,@CheetahMobile  HAS A TOTAL REVENUE OF 5 BILLION YUAN AND A NET PROFIT OF 1.3 BILLION YUAN IN 2018… https://t.co/gGchGbgALm
10,Sat Mar 30 00:22:17 +0000 2019,Ferdinand Duya,1038216836662231040,17,0,0,"This Is My New Best In Faded By @IAmAlanWalker In @pianotiles2cm By @CheetahMobile ! Thank You!
#PianoTiles2 https://t.co/CxLCz68fLo"
11,Tue Mar 26 09:11:10 +0000 2019,Volanews,1069502003821260805,25,0,0,@CheetahMobile  HAS A TOTAL REVENUE OF 5 BILLION YUAN AND A NET PROFIT OF 1.3 BILLION YUAN IN 2018… https://t.co/7jc2w4ZGg0
12,Tue Mar 26 09:11:04 +0000 2019,Volanews,1069502003821260805,25,0,0,@CheetahMobile  HAS A TOTAL REVENUE OF 5 BILLION YUAN AND A NET PROFIT OF 1.3 BILLION YUAN IN 2018… https://t.co/XcDAiKqGdY
13,Tue Mar 26 09:10:40 +0000 2019,Volanews Iran,1094853441623605248,5,0,0,@CheetahMobile  HAS A TOTAL REVENUE OF 5 BILLION YUAN AND A NET PROFIT OF 1.3 BILLION YUAN IN 2018… https://t.co/XvMN1xAymE
14,Tue Mar 26 09:10:13 +0000 2019,Volanews Israel,1094865044909756417,4,0,0,@CheetahMobile  HAS A TOTAL REVENUE OF 5 BILLION YUAN AND A NET PROFIT OF 1.3 BILLION YUAN IN 2018… https://t.co/FDOgRVMUD0
15,Tue Mar 26 09:07:19 +0000 2019,Volanews Indonesia,1094851269557137414,5,0,0,@CheetahMobile  HAS A TOTAL REVENUE OF 5 BILLION YUAN AND A NET PROFIT OF 1.3 BILLION YUAN IN 2018… https://t.co/tuXsY9VxqU
16,Tue Mar 26 09:04:09 +0000 2019,Volanews Egypt,1072073474598854656,12,0,0,@CheetahMobile  HAS A TOTAL REVENUE OF 5 BILLION YUAN AND A NET PROFIT OF 1.3 BILLION YUAN IN 2018… https://t.co/bIYp4ushBY
17,Tue Mar 26 09:03:56 +0000 2019,Volanews Middle East,1072057389308768257,10,0,0,@CheetahMobile  HAS A TOTAL REVENUE OF 5 BILLION YUAN AND A NET PROFIT OF 1.3 BILLION YUAN IN 2018… https://t.co/F55bGZuMyd
