,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Thu Apr 04 03:07:50 +0000 2019,Chowkidar Ankush Khandelwal🇮🇳🇮🇳,1703848657,264,0,42,RT @manakgupta: Thanks @WhatsApp. Now nobody will be able to add you to any Whatsapp group without your permission. Much needed. Finally 😅…
1,Thu Apr 04 03:07:37 +0000 2019,Prabhu,134720028,787,0,426,"RT @ShashiTharoor: This is the poisonous bilge the Chowkidars are spreading in my constituency on @whatsApp, @Facebook &amp; @Twitter: a statem…"
2,Thu Apr 04 03:07:22 +0000 2019,Prabhu,134720028,787,0,258,"RT @ShashiTharoor: I call on those who run @whatsApp, @Facebook &amp; @Twitter in India&amp;who claim to be concerned about the misuse of their pla…"
3,Thu Apr 04 03:07:13 +0000 2019,जागरूक मतदाता,1031206661434875904,148,0,426,"RT @ShashiTharoor: This is the poisonous bilge the Chowkidars are spreading in my constituency on @whatsApp, @Facebook &amp; @Twitter: a statem…"
4,Thu Apr 04 03:07:02 +0000 2019,Deepti,1039712604246044674,347,0,0,"@manakgupta @WhatsApp Self control is D key to become successful &amp; Great. 
Everyone should read April month's… https://t.co/8KTECXVKj2"
5,Thu Apr 04 03:06:58 +0000 2019,somrat.yak,1082499690677956609,34,0,406,"RT @Aazarouni: @WhatsApp

kindly provide the groups admin with ability to delete any posts from any users

#whatsapp #Retweet"
6,Thu Apr 04 03:06:28 +0000 2019,M Sahil Gandhi मै भी बेरोजगार,1093018364606218240,242,0,426,"RT @ShashiTharoor: This is the poisonous bilge the Chowkidars are spreading in my constituency on @whatsApp, @Facebook &amp; @Twitter: a statem…"
7,Thu Apr 04 03:06:26 +0000 2019,Krishna Kumar B,767047085313003520,8,0,0,@ShashiTharoor @WhatsApp @facebook @Twitter It is just idiotic to bring fiction written by candidate into election.… https://t.co/hCCmtQOEG1
8,Thu Apr 04 03:06:24 +0000 2019,The Chowkidar,1110107539855687680,4,0,0,"@ShashiTharoor @DhruvSquad @WhatsApp @facebook @Twitter But You #Tharki Tharoor,,, everyone Knows...👍😂😂😂"
9,Thu Apr 04 03:05:30 +0000 2019,Sachin Tandon,149974912,2548,0,426,"RT @ShashiTharoor: This is the poisonous bilge the Chowkidars are spreading in my constituency on @whatsApp, @Facebook &amp; @Twitter: a statem…"
10,Thu Apr 04 03:05:23 +0000 2019,Gaurav jha,143144136,42,0,258,"RT @ShashiTharoor: I call on those who run @whatsApp, @Facebook &amp; @Twitter in India&amp;who claim to be concerned about the misuse of their pla…"
11,Thu Apr 04 03:05:18 +0000 2019,Vijay kumar,709843200379379712,59,0,426,"RT @ShashiTharoor: This is the poisonous bilge the Chowkidars are spreading in my constituency on @whatsApp, @Facebook &amp; @Twitter: a statem…"
12,Thu Apr 04 03:05:16 +0000 2019,TechTalk,2273279611,142,0,26,"RT @phoneradarblog: #PhoneRadar News - 3rd April 2019

➡ @WhatsApp Brings New Privacy Features for Groups 
➡ ASUS #Zenfone6Z to Come with 4…"
