,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Tue Apr 02 07:22:32 +0000 2019,Mark-111,1105404048230903808,0,0,0,@GiO_BossTycoon @ClashofClans yep its so hard erevytime i fall asleep
1,Tue Apr 02 07:21:48 +0000 2019,ReDRuM--Liv3,2990239730,987,0,0,"@xer0tweet @ClashofClans 48 hour sign up period, so as long as you dont start a regular war next you'll be fine"
2,Tue Apr 02 07:21:29 +0000 2019,Mark-111,1105404048230903808,0,0,0,@ChuckPeavey @ClashofClans its very stupid design i lost my book too
3,Tue Apr 02 07:21:00 +0000 2019,Labour Liam #GTTO #JC4PM,1415312263,1802,0,0,@HouseofClashers @ClashofClans What's the price in £
4,Tue Apr 02 07:19:33 +0000 2019,Никита,821399540221800448,2,0,0,@HouseofClashers @ClashofClans Update pl
5,Tue Apr 02 07:19:17 +0000 2019,Gandalf,1058273972243124224,45,0,0,@AlambredjYT @ClashofClansESC @ClashofClans Se te sale hasta por las orejas....
6,Tue Apr 02 07:17:44 +0000 2019,Durvesh Thakur,3119499332,10,0,0,@ClashofClans Where is the update @ClashofClans
7,Tue Apr 02 07:17:19 +0000 2019,Никита,821399540221800448,2,0,0,@ClashofClans Update game pls)
8,Tue Apr 02 07:15:37 +0000 2019,Mohammed Al Maqdi,339895079,38,0,0,@ClashofClans When the new update is coming. Its 3rd April now 😁
9,Tue Apr 02 07:14:54 +0000 2019,carlaMGx,3874143676,11,0,0,@HouseofClashers @ClashofClans When’s the update 🙄
10,Tue Apr 02 07:12:34 +0000 2019,ΔnGeLoUzZ,887869511952629760,19,1,0,@ClashofClans ☕☕☕ Yo en estos momentos https://t.co/ohLqHM6S3a
11,Tue Apr 02 07:12:26 +0000 2019,@xer0tweet,146577675,12,0,0,how much time will i have to start #cwl after coc starts the event? bcoz our normal war starts just today (preparat… https://t.co/TrGOG07IAc
12,Tue Apr 02 07:11:57 +0000 2019,BloodyIrishman,117263772,109,0,0,@OzrikY @DANTE_DMC3 @HouseofClashers @ClashofClans There is no difference; some people just like to cry. https://t.co/HJh6k7ZlBU
13,Tue Apr 02 07:10:10 +0000 2019,Suman Das,798013398076231681,0,0,0,@HouseofClashers @ClashofClans hukkkka hukkkkka
14,Tue Apr 02 07:08:37 +0000 2019,Godsonftw,1112974464218611712,0,0,0,@SumitmMallabade @ClashofClans Yeah
15,Tue Apr 02 07:05:51 +0000 2019,Sensi_Polo💎,3644139921,86,0,92,"RT @ClashofClans: Hey Chief! We know you were anxiously looking forward to the update today as much as we were, but due to the discovery of…"
16,Tue Apr 02 07:04:54 +0000 2019,Chuck Peavey,113312890,203,0,0,@ClashofClans Thought I was going crazy!
17,Tue Apr 02 07:04:45 +0000 2019,Pritam Malik,1109731698663522304,2,0,0,"@CodzNz @ClashofClans When i have lvl 10 king in th 8 / how i use the book of hero? 
That's my problem and i don't… https://t.co/Tf4e4rJZTR"
18,Tue Apr 02 07:04:21 +0000 2019,Chuck Peavey,113312890,203,0,0,@ClashofClans I wasn't able to claim the book before the event ended... Did I just lose all that work because the e… https://t.co/wPuXWdPppk
19,Tue Apr 02 07:04:03 +0000 2019,G,65590374,463,0,0,"@ClashofClans I think people in legends league got it worst, finding a base is so LAME!!!! Tried all day and couldn’t get the 5th one 🙄🙄"
20,Tue Apr 02 07:02:57 +0000 2019,yiming peng,3107960372,3,0,0,@ClashofClans ？？？？？？？？？？？？？？？？？？？？？
