,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Sun Mar 29 03:28:25 +0000 2020,Penny Ware,1217481071375331329,25,0,473,"RT @derekjames150: There is increasing evidence that the UK Government is recording #Coronavirus deaths as pneumonia. If this is the case,…"
1,Sun Mar 29 03:28:25 +0000 2020,LaHistoria,2396731321,55968,0,0,Congreso de Perú eximió de responsabilidad penal a los militares y policías que hieran o maten gente en situación d… https://t.co/NfLX7Tp2fN
2,Sun Mar 29 03:28:25 +0000 2020,S. M. Tariqul Islam,3289433933,24,0,6,RT @UNDP: Two out of every five people on Earth do not have a basic hand washing facility with soap &amp; water at home. See how we work to ens…
3,Sun Mar 29 03:28:25 +0000 2020,⚖️ Äиαstαsíα ⚖️,814331324,4844,0,62,"RT @thewebbix: The missing 6 weeks: how Trump failed his life’s BIGGEST test | The Guardian
#TrumpPandemicFailure
January 20,2020 — two mon…"
4,Sun Mar 29 03:28:25 +0000 2020,Commodity Hunter #MBGA,2189056412,1213,0,0,#Coronavirus Fury at China efforts to blame Covid-19 on #US army delegation to Wuhan https://t.co/JVDw8LAO2G via @MailOnline
5,Sun Mar 29 03:28:25 +0000 2020,Nisha Poddar,524542218,17780,0,732,"RT @CNBCTV18Live: #Coronavirus | Tata Sons to contribute Rs 1,000 cr towards fighting the #CoronavirusOutbreak 

Earlier today, Tata Trusts…"
6,Sun Mar 29 03:28:25 +0000 2020,Olivia G Cadwell,743604277,68,0,0,Quick pauses from my solo run to document #covid_19 themed street art (and some tone-deaf advertising).… https://t.co/SUGPCV2pkU
7,Sun Mar 29 03:28:25 +0000 2020,🔱 Dushy™ 🔱,1203635602677288961,50,0,2623,"RT @amitmalviya: AAP government in Delhi cut electricity and water supply of migrant workers​, spread rumours that buses were waiting for t…"
8,Sun Mar 29 03:28:25 +0000 2020,HongKongGuardian,1163131078036430854,644,0,14276,RT @HKWORLDCITY: ‼️WOW‼️ Bruce Aylward/@WHO did an interview with HK's @rthk_news &amp; when asked about #Taiwan he pretended not to hear the q…
9,Sun Mar 29 03:28:25 +0000 2020,Nick Pal,274796762,572,0,7814,"RT @ezracheungtoto: It is an embarrassing scene. @WHO Director General, Bruce Aylward, hangs up in an interview with RTHK when he is asked…"
10,Sun Mar 29 03:28:24 +0000 2020,alex diaz neira,275250016,119,0,165,"RT @tutoquiroga: El muñeco parlante de Maduro, el servil narco-fraudulento @evoespueblo, defiende al narco-tirano Maduro. 
Los integrantes…"
11,Sun Mar 29 03:28:24 +0000 2020,Primate Seven,262349771,1172,0,1134,RT @algore: This is a shameful abdication of responsibility by @EPA. President Trump is using a public health crisis to justify a free allo…
12,Sun Mar 29 03:28:24 +0000 2020,MARIO,1168593433843384320,9,0,49,"RT @chematierra: #Coronavirus 
Marzo 28
Panorama mundial
662,073 infectados
30,780 muertos
139,426 recuperados
🇺🇸EEUU es ahora por mucho el…"
13,Sun Mar 29 03:28:24 +0000 2020,Juan,383485444,361,0,1002,"RT @sopitas: “Esto es impostergable, es nuestra última oportunidad de hacerlo y hacerlo ya. Quédate en casa. Quédate en casa. Quédate en ca…"
