,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Wed Apr 03 19:43:36 +0000 2019,La veille techno,135145900,10071,0,0,RT @nicoladiaz FYI @Hugoslav @edwyplenel @Disclose_ngo @amaelle_g @Romain_Pigenel @CNIL @Defenseurdroits… https://t.co/bucSEG8FAv
1,Wed Apr 03 19:43:32 +0000 2019,John Kreuzer,15877403,2923,0,0,"If it weren't for constant #Facebook security issues, my days would be A LOT slower... #InfoSec #cybersecurity https://t.co/f855NbzELi"
2,Wed Apr 03 19:43:24 +0000 2019,CyberTeam,1031930290363662342,128,0,0,Over 540 Milion Facebook User Records Found On Unprotected Amazon Servers via @TheHackersNews ... https://t.co/NYnzXKwLSM #Facebook #Amazon
3,Wed Apr 03 19:43:10 +0000 2019,Jonathan Alvizua,177250563,555,0,1,RT @Economiahoymx: #ATENCIÓN | Cultura Colectiva (@CulturaColectiv) habría almacenado datos de 540 millones de usuarios de #Facebook sin co…
4,Wed Apr 03 19:43:05 +0000 2019,Swati Khandelwal,864777798,30039,0,0,"😱 Over 540 Million #Facebook User Records Exposed Through Unprotected Amazon Servers

https://t.co/VwGlZS7M8P

—by… https://t.co/wtuvHiO4EL"
5,Wed Apr 03 19:42:35 +0000 2019,Paul Motion,42687750,451,0,108,RT @threatpost: Breaking: Hundreds of millions of #Facebook records – including account names and plaintext #passwords – have been found in…
6,Wed Apr 03 19:42:02 +0000 2019,TechFood,952518796266401793,5520,0,0,ICO hints at Facebook hypocrisy over data protection goals https://t.co/LN2tkhSIv1 #ICO #Facebook #dataprotection https://t.co/0u9VuCvMEJ
7,Wed Apr 03 19:41:48 +0000 2019,Noticieros GREM,260370353,18771,0,0,#Empresas🔎 Hallan datos de #Facebook en #Amazon. Millones de datos de usuarios de Facebook fueron encontrados en se… https://t.co/HinSk7O1ev
8,Wed Apr 03 19:41:41 +0000 2019,PRSA SF Bay Area,68763408,1828,0,0,"""#Facebook exists to create community and we do that internally, too. You can find your tribe whether it's cycling… https://t.co/SvSPKbBNuP"
9,Wed Apr 03 19:41:33 +0000 2019,BuyDirectSports Sports Picks & Predictions,267990789,3136,0,0,That makes 9 Straight #FreePick #Winners @Buydirectsports for ALL our Members &amp; Followers! #1 in #FreePicks &amp;… https://t.co/U8L7731NHd
