,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Wed Apr 03 19:23:33 +0000 2019,DREGS DEPLO-RABBLE 23QFD:(the shadowbanned),889956177005735937,3924,0,145,"RT @Tombx7M: Here’s an idea
How about housing illegals in his neighborhood
#FoxandFriends #Tcot #Ccot #QAnon #MAGA #KAG 
#WWG1WGA #Facebook…"
1,Wed Apr 03 19:23:31 +0000 2019,Jeff Esposito,15021053,5296,0,3,"RT @LindseyOD123: Despite some reports that I have seen, a #Facebook spokesperson told me that the investigation regarding the publicly exp…"
2,Wed Apr 03 19:23:27 +0000 2019,KING KWAM3,273720647,564,0,42,"RT @TheHackersNews: 😱 Over 540 Million #Facebook User Records Exposed Through Unprotected Amazon Servers

https://t.co/Up5XOcanB0

 —by @Un…"
3,Wed Apr 03 19:23:26 +0000 2019,Leeloo,803011345251762178,3650,0,145,"RT @Tombx7M: Here’s an idea
How about housing illegals in his neighborhood
#FoxandFriends #Tcot #Ccot #QAnon #MAGA #KAG 
#WWG1WGA #Facebook…"
4,Wed Apr 03 19:23:26 +0000 2019,3nc0d3d T-Rex,233852452,581,0,42,"RT @TheHackersNews: 😱 Over 540 Million #Facebook User Records Exposed Through Unprotected Amazon Servers

https://t.co/Up5XOcanB0

 —by @Un…"
5,Wed Apr 03 19:23:26 +0000 2019,Scott Risner,19824433,619,0,0,"Anyone else unable to ""reply"" to comments on #facebook?"
6,Wed Apr 03 19:23:22 +0000 2019,Aatika Khan,840214007592210432,129,0,42,"RT @TheHackersNews: 😱 Over 540 Million #Facebook User Records Exposed Through Unprotected Amazon Servers

https://t.co/Up5XOcanB0

 —by @Un…"
7,Wed Apr 03 19:23:19 +0000 2019,michelle sherron,854833686012993537,354,0,813,RT @fb_down: #Private #Public #Facebook #Video #Downloader #Download #Facebook #Videos #Facebook #Video #Download #Video  #Download #Video…
8,Wed Apr 03 19:23:18 +0000 2019,Aurélia Jaeger,618020917,2068,0,0,Les stories #Instagram #snapchat #Facebook c’est hyper chronophage en fait. Ça te bouffe la vie #Boycott
9,Wed Apr 03 19:23:14 +0000 2019,𝗔𝗡𝗢𝗡𝗘,956952813363449857,43,0,42,"RT @TheHackersNews: 😱 Over 540 Million #Facebook User Records Exposed Through Unprotected Amazon Servers

https://t.co/Up5XOcanB0

 —by @Un…"
10,Wed Apr 03 19:23:12 +0000 2019,Saeed Umar LTHTR,3294424912,515,0,40,"RT @TheHackersNews: 😱 Over 540 Million #Facebook User Records Exposed Through Unprotected Amazon Servers

https://t.co/Up5XOcanB0

 —by @Un…"
11,Wed Apr 03 19:23:10 +0000 2019,Julien Teruel,80894744,19,0,42,"RT @TheHackersNews: 😱 Over 540 Million #Facebook User Records Exposed Through Unprotected Amazon Servers

https://t.co/Up5XOcanB0

 —by @Un…"
12,Wed Apr 03 19:23:08 +0000 2019,skept1kal,1055875110,2293,0,38,"RT @TheHackersNews: 😱 Over 540 Million #Facebook User Records Exposed Through Unprotected Amazon Servers

https://t.co/Up5XOcanB0

 —by @Un…"
13,Wed Apr 03 19:23:06 +0000 2019,bpx setfocus if(pid==0x539),253479115,139,0,42,"RT @TheHackersNews: 😱 Over 540 Million #Facebook User Records Exposed Through Unprotected Amazon Servers

https://t.co/Up5XOcanB0

 —by @Un…"
14,Wed Apr 03 19:23:01 +0000 2019,bahar,1236133015,73,0,42,"RT @TheHackersNews: 😱 Over 540 Million #Facebook User Records Exposed Through Unprotected Amazon Servers

https://t.co/Up5XOcanB0

 —by @Un…"
15,Wed Apr 03 19:22:58 +0000 2019,Helios Mier,53681586,1255,0,42,"RT @TheHackersNews: 😱 Over 540 Million #Facebook User Records Exposed Through Unprotected Amazon Servers

https://t.co/Up5XOcanB0

 —by @Un…"
16,Wed Apr 03 19:22:58 +0000 2019,Ellen Ripley ⏳,1001054494606667777,104,0,11,"RT @AnonScan: ...

More on #Amazon #CloudComputing:
https://t.co/KCtAnw0pui

More on #Facebook:
https://t.co/llbHlbLJmW

More on #Cambridge…"
17,Wed Apr 03 19:22:57 +0000 2019,A H@X0r Named 4Chan,715775492289392644,98,0,3,"RT @TheHackersNews: The leaked datasets do not directly belong to the #Facebook company; instead, it was collected and unsecurely stored on…"
18,Wed Apr 03 19:22:55 +0000 2019,Inexactitude Term,202578593,35,0,42,"RT @TheHackersNews: 😱 Over 540 Million #Facebook User Records Exposed Through Unprotected Amazon Servers

https://t.co/Up5XOcanB0

 —by @Un…"
19,Wed Apr 03 19:22:49 +0000 2019,CloudSilicon,68562342,630,0,0,"The leaked datasets do not directly belong to the #Facebook company; instead, it was collected and unsecurely store… https://t.co/sc9WlOPfQK"
20,Wed Apr 03 19:22:49 +0000 2019,El Muro de Lima,11438042,4019,0,42,"RT @TheHackersNews: 😱 Over 540 Million #Facebook User Records Exposed Through Unprotected Amazon Servers

https://t.co/Up5XOcanB0

 —by @Un…"
21,Wed Apr 03 19:22:49 +0000 2019,CloudSilicon,68562342,630,0,0,"😱 Over 540 Million #Facebook User Records Exposed Through Unprotected Amazon Servers

https://t.co/x41JEZw6y9

 —by… https://t.co/ia7GFL4lE0"
22,Wed Apr 03 19:22:46 +0000 2019,S・Blank 皅朗恖 (ㅅ·바란크),384080647,251,0,0,"#SocialMedia websites are interesting. This includes #Twitter, #Facebook (#FB), Instagram, etc."
23,Wed Apr 03 19:22:45 +0000 2019,Martin,2921905883,45,0,42,"RT @TheHackersNews: 😱 Over 540 Million #Facebook User Records Exposed Through Unprotected Amazon Servers

https://t.co/Up5XOcanB0

 —by @Un…"
24,Wed Apr 03 19:22:44 +0000 2019,kⒶli,2337594336,1153,0,22,"RT @AnonNewsDE: Wo wir vorhin schon beim Thema #Facebook waren.

Es wurde ein weiteres Datenleck entdeckt. 540 Mio. Datensätze, darunter 22…"
25,Wed Apr 03 19:22:41 +0000 2019,GNU/Ｚe//e,810915163738177536,187,0,42,"RT @TheHackersNews: 😱 Over 540 Million #Facebook User Records Exposed Through Unprotected Amazon Servers

https://t.co/Up5XOcanB0

 —by @Un…"
26,Wed Apr 03 19:22:38 +0000 2019,LORE CASTILLO REYES 🇲🇽,184481251,6005,0,0,"Con Margarita Arellano, abogada y feminista, platicamos sobre #MeToo y la falta de regulación de movimientos social… https://t.co/8IfiXGmY6G"
27,Wed Apr 03 19:22:37 +0000 2019,chtys 80,2333716978,11,0,0,ONT VEUX LE PLATINE !!! AVEC LES ABONNÉ #direct #youtubegaming #facebook #rainbowsixsiege  live at https://t.co/2oPN1DIudi
28,Wed Apr 03 19:22:36 +0000 2019,Ellen Ripley ⏳,1001054494606667777,104,0,26,"RT @AnonScan: Millions of #Facebook Records Found on #Amazon Cloud Servers

#Cybersecurity firm #UpGuard found troves of user info hiding i…"
29,Wed Apr 03 19:22:35 +0000 2019,Lesvia Garza Flores,136462493,1884,0,1,RT @DoreFerriz: Si quieren acudir al #FestivalMedieval en La Marquesa les dejé unos regalos en mi #Facebook ✅📲 https://t.co/WpSS4twcDW http…
30,Wed Apr 03 19:22:31 +0000 2019,James Haus,249850162,184,0,8,"RT @openmarkets: “That’s beyond sketchy,” security consultant Jake Williams told @thedailybeast “They should not be taking your password...…"
31,Wed Apr 03 19:22:29 +0000 2019,Ħazem Osama,761060850,172,0,658,RT @TheHackersNews: This is Terrible 🤦 Facebook has been caught asking some new users to enter passwords for their registered email account…
32,Wed Apr 03 19:22:29 +0000 2019,Juan C Solano יוחנן,932721278,223,0,42,"RT @TheHackersNews: 😱 Over 540 Million #Facebook User Records Exposed Through Unprotected Amazon Servers

https://t.co/Up5XOcanB0

 —by @Un…"
33,Wed Apr 03 19:22:27 +0000 2019,Hyrum M,270124606,80,0,42,"RT @TheHackersNews: 😱 Over 540 Million #Facebook User Records Exposed Through Unprotected Amazon Servers

https://t.co/Up5XOcanB0

 —by @Un…"
34,Wed Apr 03 19:22:27 +0000 2019,Greg D,184723989,51,0,3,"RT @ShonaMurray_: Once again, #facebook at the helm as pro #NoDeal #brexit ads swamp users’ timelines. Facebook Brexit ads secretly run by…"
35,Wed Apr 03 19:22:19 +0000 2019,Ashish T.,1083227897379225601,31,0,42,"RT @TheHackersNews: 😱 Over 540 Million #Facebook User Records Exposed Through Unprotected Amazon Servers

https://t.co/Up5XOcanB0

 —by @Un…"
36,Wed Apr 03 19:22:18 +0000 2019,Shruti Mahajan,710608668832571392,47,0,0,This is not the first and it probably won't be the last. Please be careful of the information you publish on social… https://t.co/M3iBYEI4W0
37,Wed Apr 03 19:22:09 +0000 2019,Matt C,30847682,145,0,42,"RT @TheHackersNews: 😱 Over 540 Million #Facebook User Records Exposed Through Unprotected Amazon Servers

https://t.co/Up5XOcanB0

 —by @Un…"
