,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Wed Apr 03 13:10:51 +0000 2019,Lovely lady,2454141756,19,0,1,"RT @justleon: @leonthepeoples We’re  #trending !! @reverbnation 
#sometimesiwishiwassingle 
Get it Now! @itunes @amazonmusic @spotify @pand…"
1,Wed Apr 03 13:07:30 +0000 2019,Lovely lady,2454141756,19,0,1,"RT @justleon: @leonthepeoples We’re  #trending !! @reverbnation 
#sometimesiwishiwassingle 
Get it Now! @itunes @amazonmusic @spotify @pand…"
2,Wed Apr 03 13:02:02 +0000 2019,Harry Gold,15576207,1914,0,0,Good news for brands trying to crack voice marketing - @Pandora begins selling ads on #AmazonEcho and #GoogleHome: https://t.co/BOZTuKOEDQ
3,Wed Apr 03 12:24:38 +0000 2019,Myla Beckett,3153627306,1826,3,0,I ♥️♥️♥️♥️ @billieeilish I’m listening to her songs on @Pandora 🗣🗣🗣 GO SUPPORT HER AND BUY HER ALUM CONGRATULATIONS… https://t.co/CRfZ396WT3
4,Wed Apr 03 11:55:47 +0000 2019,LEON & THE PEOPLES,85781332,8565,3,1,"We’re  #trending !! @reverbnation 
#sometimesiwishiwassingle 
Get it Now! @itunes @amazonmusic @spotify @pandora 
W… https://t.co/E8hW1BKkkb"
5,Wed Apr 03 11:54:11 +0000 2019,LEON,228802564,25139,1,1,"@leonthepeoples We’re  #trending !! @reverbnation 
#sometimesiwishiwassingle 
Get it Now! @itunes @amazonmusic… https://t.co/tMVIAikLz2"
6,Wed Apr 03 11:35:17 +0000 2019,LEON,228802564,25139,2,1,"@leonthepeoples We’re  #trending !! @reverbnation 
#sometimesiwishiwassingle 
Get it Now! @itunes @amazonmusic… https://t.co/YVAOCV0lYo"
7,Wed Apr 03 07:34:08 +0000 2019,LT-Innovate,414809762,1950,1,0,Conversational #Advertising: @Pandora to Start Testing Interactive #Voice Ads https://t.co/dzgdn4pPAk
8,Wed Apr 03 06:07:11 +0000 2019,Icielani,374355525,13325,0,1,RT @DonnaJWilk2: @Icielani @JpLaMemoria @Pandora best music choice . best wish for you
9,Wed Apr 03 05:32:29 +0000 2019,Icielani,374355525,13325,0,1,RT @KhanDipu9: @Icielani @JpLaMemoria @Pandora Amazing Song!
10,Wed Apr 03 04:06:09 +0000 2019,Vanessa Stevenson,1109612781928632320,0,0,1,"RT @joelhawkins: Typical Friday night: @Jameson_us Black Barrel, @Parents and @Real_Simple magazines, @MaxRichterMusic radio on @Pandora, a…"
11,Wed Apr 03 02:27:40 +0000 2019,Paz no Parquinho 💫,832753166068224003,995,0,1,RT @Pandora: Meu Deus!!! Alguém por favor desenvolve esse Pagodeiros do Zodíaco que o #TaNoAr apresentou agora pq foi uma das melhores cois…
12,Wed Apr 03 01:21:02 +0000 2019,Valéria Guilardi,104026446,105,1,0,"@Pandora Não quero desmerecer o garoto, mas... https://t.co/X15dfsDZor"
13,Wed Apr 03 01:09:22 +0000 2019,JCH,19423611,713,0,0,"My @LyleLovett station on @Pandora has played songs by The Band, Rolling Stones, Dire Straits and Nat King Cole.

G… https://t.co/tOFBu1o0Yy"
