,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Thu Apr 04 00:30:03 +0000 2019,Gabriella Sannino,15506203,11208,0,0,6 Compelling Reasons Why Your Business Should Start Using Pinterest #pinterest #socialmedia  https://t.co/XkQDaZo9Ac RT @valeriedeveza
1,Thu Apr 04 00:28:45 +0000 2019,averydecent,1113548985413853185,1,0,496,"RT @shelleypetersen: #Healthinnovations has just hit a staggering 103,200 monthly viewers on #Pinterest!  Get in on these stats, invite us…"
2,Thu Apr 04 00:21:02 +0000 2019,RiteGrowth,2806575423,1142,0,0,How to Get Genuine and Totally #RealFollowers on #Pinterest https://t.co/xO1XY5poWz ~ @cforsey1 #smallbiz #smb #smm https://t.co/1KLmtj8lxw
3,Thu Apr 04 00:20:08 +0000 2019,socialmediacombo,16555374,2110,0,1,"RT @postoff25: What do you think? https://t.co/YbC3Fb9jtf
#Pinterest #socialmediamarketing"
4,Thu Apr 04 00:15:51 +0000 2019,Opo,1086742990247378944,26,1,0,Friends this is an awesome way to make money using your #Pinterest account https://t.co/zVZapqaABK via @viralitidotcom
5,Thu Apr 04 00:11:33 +0000 2019,Naji Filali,1167523892,8131,0,1,"What do you think? https://t.co/YbC3Fb9jtf
#Pinterest #socialmediamarketing"
6,Thu Apr 04 00:00:32 +0000 2019,Llar i Foc,1538766583,234,0,0,Quieres ver nuestro #Pinterest de #Chimeneas Metálicas! https://t.co/PQ57Rozbke Somos especialistas en #biomasa
7,Thu Apr 04 00:00:06 +0000 2019,Eric Sachs,160146943,2730,0,0,Pinterest is a great platform for marketers to ultlize. Understanding the activities and interests of Pinterest use… https://t.co/gKPD7eQpLi
8,Wed Apr 03 23:59:00 +0000 2019,"Queenb Creative, LLC",318108473,43,1,0,6 Compelling Reasons Why Your Business Should Start Using #Pinterest via @valeriedeveza https://t.co/JUc9QaVGDR  #socialmedia #SMM
9,Wed Apr 03 23:48:53 +0000 2019,WHBrown,4842599535,3775,0,0,"#WordPress
https://t.co/FkUiSiNEuw 

#Pinterest 
https://t.co/TD8AvMTiSv 

#Facebook 
https://t.co/XfCJG9MOTP https://t.co/IyVK0CRUId"
10,Wed Apr 03 23:47:21 +0000 2019,Don't You Love Wine,75343553,843,0,0,They call it cheers! #pinterest #ilovewine https://t.co/XGXeTimVr1 ❤🍷 https://t.co/0jwVjWRbnA
11,Wed Apr 03 23:33:00 +0000 2019,Will Adams,21068187,5590,0,0,#Pinterest for Business: Seven Helpful Tips [Infographic]... by Laura Forer 🔺  https://t.co/8dGDZKSWlH ▪ #SocialMediaMarketing
12,Wed Apr 03 23:25:28 +0000 2019,Leesa,33788427,17485,0,0,Follow #EcoChic on Pinterest!  https://t.co/9Tb4Srrn7q #etsy #vintage #jewelry #pinterest
13,Wed Apr 03 23:21:51 +0000 2019,Christina❤,291961194,403,0,0,"I've found someone you should follow on Pinterest! Me! Just updated it after like a year #Pinterest 
https://t.co/SA54joZ3aw"
14,Wed Apr 03 23:16:12 +0000 2019,Marr Media Group,1258586034,26581,0,1,RT @TailwindApp: Does it Matter When I Pin to Pinterest? (YES!) https://t.co/IFpL4Ybmzp #pinterest #socialmediatools https://t.co/QoePEYmIIB
15,Wed Apr 03 23:15:28 +0000 2019,Stephan Jaeckel,27627485,335,0,0,Enjoy my #Pinterest Boards on #Marketing https://t.co/70GBYjTydT and #Management https://t.co/QlNLjVJTzo
16,Wed Apr 03 23:11:52 +0000 2019,Creative Cakes by Sandy Danner,1073348944296587267,3,0,0,"Today's cakes. 2 weddings and a groom's cake.  Follow me on #Facebook (https://t.co/gaZggrCzO7), #Pinterest (… https://t.co/68xDy6AeJc"
17,Wed Apr 03 23:10:46 +0000 2019,Jonathan Gebauer,14205576,164012,0,0,You need to get your basics right if you are looking for Pinterest marketing success #Pinterest https://t.co/Vp58vNBfiA
18,Wed Apr 03 23:00:45 +0000 2019,Refined Revelry,2795403184,2176,1,0,"Pinterest is the biggest source of traffic to my blog, but it can take up SO much time. That’s where Tailwind comes… https://t.co/WWyxCOtiu5"
19,Wed Apr 03 22:58:13 +0000 2019,Betty Buckley,96205284,38806,0,1,RT @LivvieBrundle: #ThrowbackThursday (found via #pinterest) the very #beautiful #anthonypowell #normadesmond #costumedesigns for #sunsetbo…
20,Wed Apr 03 22:55:31 +0000 2019,Leadify Business,987544766,120,0,0,"Of all the users who sign up, 84% of women and 50% of men stay active on #Pinterest. #socialmediafacts"
21,Wed Apr 03 22:41:01 +0000 2019,Ilka Flood,47234940,4414,0,0,How to create a Pinterest pin your followers will flock too ... https://t.co/SLmCJMl5zf #Pinterest #marketing… https://t.co/GWEIyfn5j6
22,Wed Apr 03 22:38:35 +0000 2019,Tript,4764947802,1894,0,0,hello everyone! just in case you have not been following along on instagram - but our 5 day free pinterest challeng… https://t.co/EIzZQBo0kn
23,Wed Apr 03 22:37:55 +0000 2019,Tailwind,557356524,10717,0,1,Does it Matter When I Pin to Pinterest? (YES!) https://t.co/IFpL4Ybmzp #pinterest #socialmediatools https://t.co/QoePEYmIIB
24,Wed Apr 03 22:37:48 +0000 2019,Rated ★★★★★,241932675,29978,0,0,"Proving my Pinterest ""Point"" ~~&gt; https://t.co/INPkvX4sRF Enjoy and Please reTweet #DigitalMarketing #SMM #pinterest https://t.co/ZAtbT3ppCP"
25,Wed Apr 03 22:36:45 +0000 2019,Social-Media-As-A-Service,3195278881,2818,0,1,"RT @NetinobyWebhelp: #Pinterest a annoncé l'ouverture de la #publicité à tous les annonceurs dans quatre marchés européens : l'Allemagne, l…"
26,Wed Apr 03 22:26:43 +0000 2019,fabrica de carteles de goma eva para cotillon.,1049654306947903489,9,0,0,Gracias a mis seguidores en pinterest ya son 17K en Abril #pinterest #Merlo #art https://t.co/RYTfx9KW9D
27,Wed Apr 03 22:23:58 +0000 2019,Team Awesomism,897277246188265474,264,0,0,"Have you checked our #boards on #Pinterest? We have #blogs, #fishing, #gardening and some more stuff! #pins #board… https://t.co/NR86Q8lPUc"
28,Wed Apr 03 22:18:53 +0000 2019,Tetsuya,2183573832,33,0,0,How are you charging your new AirPods? AluBase has lightning speed wireless charge and blends right into your Apple… https://t.co/xIbJb7qHKX
29,Wed Apr 03 22:17:34 +0000 2019,otto frank,1030838750245466112,74,0,496,"RT @shelleypetersen: #Healthinnovations has just hit a staggering 103,200 monthly viewers on #Pinterest!  Get in on these stats, invite us…"
30,Wed Apr 03 22:17:00 +0000 2019,♥ Suzie ♥,16630502,12772,0,0,"The Best Time to Post on #Instagram, #Facebook, #Twitter, #LinkedIn, &amp; #Pinterest https://t.co/cTjdwmEp7w via @hubspot #Social"
31,Wed Apr 03 22:13:17 +0000 2019,Buckets Of Tea,1379836802,5113,0,0,"Are you following me on Pinterest? All things food, travel, interiors and wellbeing https://t.co/eXAG4QHgKx… https://t.co/UBkdT2vqBn"
