,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Wed Apr 03 18:43:08 +0000 2019,theo,1103828047059345409,54,0,792,"RT @PViphurit: A lot of love for you, 2018 @Spotify. #2018ArtistWrapped https://t.co/5A00dZqiSV"
1,Wed Apr 03 18:43:06 +0000 2019,yes,1000405371507347456,11,0,0,@Spotify CHANGE THE LAYOUT BACK THAT SHIT IS UGLY
2,Wed Apr 03 18:43:03 +0000 2019,𝐃𝐀𝐍𝐈,796905277421449216,908,0,0,Thank you @Spotify for this playlist. 😍😍 https://t.co/rjiHjBu50J
3,Wed Apr 03 18:43:01 +0000 2019,RunBTS,860162403102797825,1265,0,1005,RT @blobyblo: Million+ souls listening to us right now on @Spotify 🙏🏻 Thank you all so much. May your sleepless nights become dreams awaken…
4,Wed Apr 03 18:43:00 +0000 2019,✴Azul Spears✴❤❄😍💕,4485474317,177,0,5,"RT @eshygazit: MONBEBE ALERT! 
Let's stream #playitcool on these following playlists @spotify:
Pop Rising: (currently 49) 
https://t.co/qAc…"
5,Wed Apr 03 18:42:58 +0000 2019,anna ♡'s min min #LCDP3,863537595258720256,467,0,5,"RT @eshygazit: MONBEBE ALERT! 
Let's stream #playitcool on these following playlists @spotify:
Pop Rising: (currently 49) 
https://t.co/qAc…"
6,Wed Apr 03 18:42:48 +0000 2019,DJ Jonn Doe,285896149,1235,0,1,"RT @DoeTeamENT: #Blessings [Prod. ATGBeatz] - Available now on @Spotify #Spotify ✅‼️
https://t.co/F7UzQI7M5U"
7,Wed Apr 03 18:42:46 +0000 2019,DJ Jonn Doe,285896149,1235,0,1,"RT @DoeTeamENT: #NoSingin [Prod. Brun] - Available now on @Spotify! 
https://t.co/CT5Waf1L8R"
8,Wed Apr 03 18:42:42 +0000 2019,DJ Jonn Doe,285896149,1235,0,1,"RT @DoeTeamENT: #NowPlaying - #Whatever on @Spotify #Spotify #Music ❗️✅ 💯
https://t.co/Ul2FqLp0YW"
9,Wed Apr 03 18:42:41 +0000 2019,Fabiola Martíne,100027193,77,1,0,Escucha lo mejor de su música a través de @Spotify en un solo playlist😘🥰🤩😊🤪 @NattiNatasha https://t.co/WurVSvpTYD
10,Wed Apr 03 18:42:35 +0000 2019,DJ Jonn Doe,285896149,1235,0,0,"RT @DoeTeamENT: #Love4Me - Casta Plan X DJ Jonn Doe via @spotify #music #tweeet 
https://t.co/XLAbd2CQJO"
11,Wed Apr 03 18:42:33 +0000 2019,CrazyCoolCorry,1032015530918600705,17,0,1,RT @thetigerbelly: Episode 188: @DaneCook &amp; The Pressure Players on iTunes @Spotify @Castbox_fm &amp; @allthingscomedy. @YouTube available Thur…
