,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Tue Apr 02 21:12:09 +0000 2019,Armor Spongus,2949552951,57,0,0,@TempleRun Your welcome
1,Tue Apr 02 17:35:48 +0000 2019,احمق۔۔۔,1017863002937282560,42,3,1,"@TheKnightComet @UrslanH @TempleRun How Cool is That. Masjid Run..😂😂😂
Just Reminded me of My Tahfeez Days.."
2,Tue Apr 02 15:17:39 +0000 2019,Gabbar Khan,1072177567099170819,169,4,1,"One can't imagine any other place of worship that can host such mad chaos.

@TempleRun should actually be… https://t.co/zctPubK2Vx"
3,Tue Apr 02 09:57:02 +0000 2019,Chrystelle,1731872695,76,0,0,"So last night I downloaded @templerun ,the addiction to this game was/is real!"
4,Tue Apr 02 03:59:41 +0000 2019,Vijesh Kumar Singh,2362701498,195,0,0,"@TempleRun P..,1234567890
12345678910"
5,Sun Mar 31 02:37:58 +0000 2019,N5NOQ,869130710,675,0,2,RT @TempleRun: Imangi Studios brings Temple Run to Playthrough! A weekend long extravaganza showcasing games for gamers to meet others who…
6,Sat Mar 30 19:30:21 +0000 2019,Justin Hair,334820220,338,0,2,"RT @TempleRun: Meet Arcenim, he's a dual device welder! https://t.co/i1QLrLeYRg
#RunneroftheMonth https://t.co/6LuCvnWqSZ"
7,Sat Mar 30 15:48:16 +0000 2019,Gumshuda,1917829886,438,1,0,"Aaaaaaaaa this festival is over and i didn’t open my temple run app for weeks, but I still got the chance to play i… https://t.co/1CqHTzuApH"
8,Sat Mar 30 14:30:28 +0000 2019,Simon A. Krause,1735788972,13,2,0,"@TempleRun Congrats, Arcenim! Well Deserved! 👍"
9,Sat Mar 30 11:09:30 +0000 2019,Travis,3070338911,27,1,0,@TFArcenimGaming @TempleRun Congrats on winning Runner of the Month!
10,Sat Mar 30 04:14:37 +0000 2019,Arcenim,3068276890,70,2,0,"@TempleRun That’s me, the dual device welder! https://t.co/qosotxrAch"
11,Sat Mar 30 02:17:46 +0000 2019,Julio Rodas,288550640,389,1,0,@TempleRun Un año consecutivo superando los desafíos diarios 🏆💪🏼 https://t.co/UO4OZMuN0v
12,Sat Mar 30 02:17:25 +0000 2019,✨K💫,102734042,120,4,0,@TempleRun Congratulations @TFArcenimGaming! 🙌🏻🙌🏻🙌🏻🎉
13,Fri Mar 29 16:44:49 +0000 2019,David💎,2791622188,153,2,0,@TempleRun Already there ... https://t.co/Y7F8crFg1C
14,Fri Mar 29 16:42:14 +0000 2019,Lolerite,853039579997384705,16,1,0,@TempleRun Yayyy
