,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Sun Mar 29 06:33:08 +0000 2020,Pedro,62207541,1773,0,0,@JoeBiden @joshtpm #ThugLife
1,Sun Mar 29 06:25:28 +0000 2020,MzPoliTweetz 🎀,784801128781271040,6705,0,1,"RT @ChildrensKeeper: @MzPoliTweetz @beelove4ever143 @browardschools @BCPSChiefOSPA @RobertwRuncie Proudly promoted by 
BCPS #thuglife Remem…"
2,Sun Mar 29 06:24:47 +0000 2020,OurChildren'sVoice,306397228,557,1,1,"@MzPoliTweetz @beelove4ever143 @browardschools @BCPSChiefOSPA @RobertwRuncie Proudly promoted by 
BCPS #thuglife Re… https://t.co/rZacptRDrV"
3,Sun Mar 29 06:16:58 +0000 2020,🦍,1241361015457173508,45,0,0,"No matter where I go , I see the same hoes #ThugLife baby https://t.co/5mX9FUdK3j"
4,Sun Mar 29 06:14:38 +0000 2020,CA$$PER LOC™©,270227961,145177,0,1,RT @Cassperloc: YEAH BABY HE CAN DO IT... BUT HE CAN’T DO IT “LIKE ME”.... 🤔😼🤗 WORLDWIDE 4/11/2020!!!! GRRRRRRR #REALTHUGMUSIC #THUGBIBLE #…
5,Sun Mar 29 06:12:09 +0000 2020,Mikkel Holm-Pedersen,2161068012,142,1,0,@LarsHFF Det er jo ren #thuglife at lægge den slags billeder op pt. 😂
6,Sun Mar 29 05:54:28 +0000 2020,𝕯𝖔𝖗𝖎𝖆𝖓 𝕭𝖆𝖊,3055550133,348,0,0,@cnnbrk #ThugLife
7,Sun Mar 29 05:45:04 +0000 2020,The Rambo Hustle Podcast,3301824986,264,0,0,Ay! @slimthugga dropped album at the midst of having #CoronaVirus . #Streetsisback || #Thuglife via @SoundCloud ||… https://t.co/hQjQoDVMZK
8,Sun Mar 29 05:34:27 +0000 2020,【超公式】Shoggy,819597713834549248,216,1,0,"ちょっと外出しようと思ったら、確実にヤバイ人って事に気付いた…。
#thuglife #ただの犯罪者やん https://t.co/cVuicEFr9G"
9,Sun Mar 29 05:25:50 +0000 2020,CA$$PER LOC™©,270227961,145177,0,1,RT @Cassperloc: STAY TUNED FOR MY NEW 🔥HIT SINGLE🔥 “LIKE ME” ‼️ AVAILABLE 4/11/2020 ‼️GRRRRRRR #REALTHUGMUSIC #THUGBIBLE #THUGLIFE #LIONFOO…
10,Sun Mar 29 05:25:10 +0000 2020,CA$$PER LOC™©,270227961,145177,1,1,STAY TUNED FOR MY NEW 🔥HIT SINGLE🔥 “LIKE ME” ‼️ AVAILABLE 4/11/2020 ‼️GRRRRRRR #REALTHUGMUSIC #THUGBIBLE #THUGLIFE… https://t.co/ci5gbL7xc1
11,Sun Mar 29 05:13:08 +0000 2020,CA$$PER LOC™©,270227961,145177,0,1,RT @Cassperloc: 💵💵💰💰LION FOOD💰💰💵💵 GRRRRRRR #REALTHUGMUSIC #THUGBIBLE #THUGLIFE #LIONFOOD #LOCCOASTANOSTRA https://t.co/SKxbCTFRwX
12,Sun Mar 29 05:12:24 +0000 2020,CA$$PER LOC™©,270227961,145177,1,1,💵💵💰💰LION FOOD💰💰💵💵 GRRRRRRR #REALTHUGMUSIC #THUGBIBLE #THUGLIFE #LIONFOOD #LOCCOASTANOSTRA https://t.co/SKxbCTFRwX
13,Sun Mar 29 05:04:28 +0000 2020,CA$$PER LOC™©,270227961,145177,1,1,YEAH BABY HE CAN DO IT... BUT HE CAN’T DO IT “LIKE ME”.... 🤔😼🤗 WORLDWIDE 4/11/2020!!!! GRRRRRRR #REALTHUGMUSIC… https://t.co/blUladuIJR
14,Sun Mar 29 04:40:54 +0000 2020,Diana,1325337348,7168,0,8,"RT @OuterLimits816: Need a #ThugLife on this😎
Anyone?"
