,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Sat Mar 28 05:51:39 +0000 2020,Imurge ThugWear,498999878,181,0,0,this guy called the dog attention like (kiss kiss kiss) while placing a tiger 🐯 infront of him as he sleeps peacefu… https://t.co/72U8piKjFE
1,Sat Mar 28 05:51:13 +0000 2020,JohnO!,384624175,688,0,0,"-This World 
-Make It Right ft. @ZROMOCITYDON 

#THUGLIFE slimthug 💽 @ Houston, Texas https://t.co/SUXyvnmM6e"
2,Sat Mar 28 05:31:46 +0000 2020,FloatingDeadGuy,293341196,425,0,0,@JCrossover Coming from a guy who ruined peoples lives with one crossover. #ThugLife
3,Sat Mar 28 05:07:59 +0000 2020,austin bosquez,1223793917532917760,110,0,0,@slimthugga #ThugLife 🔥
4,Sat Mar 28 04:57:10 +0000 2020,🇮🇳 ਜਾਏਸ਼ ਗੁਲਾਟੀ,1087774297521901568,28,0,0,"Quarantine day 9 : Almost said ""I Love You"" to my Ex.
Jaan bachi toh laakho paaye.
#QuarantineLife #ThugLife"
5,Sat Mar 28 04:54:20 +0000 2020,Uncle D-Smoke,434570914,567,0,0,God bless all the artist dropping Music during the quarentine!!  @JoynerLucas #ADHD @theweeknd #AfterHours… https://t.co/lNTPlXUqb0
6,Sat Mar 28 04:38:11 +0000 2020,MAY23 MY BOOFINI DAY,59873374,5463,0,0,#THUGLIFE 😂😂🍕💩 https://t.co/teIh6PXGPg
7,Sat Mar 28 04:34:13 +0000 2020,getmybuzzup,369528441,3824,0,0,Slim Thug - Thug Life [#Album] - Houston native Slim Thug just released his fourth studio #Album titled ‘Thug Life'… https://t.co/Gx4lpFIfl2
8,Sat Mar 28 04:16:43 +0000 2020,Tim Moore,1165645841081741312,5,1,0,Tonight’s smile. Happy Friday and much love to those parents that have become teachers. If you need a guest speaker… https://t.co/6QpCdaXx2d
9,Sat Mar 28 03:42:54 +0000 2020,Joe solis,2148226741,50,0,0,"*Thuggish ruggish music playing* my cats watching me clean my apt 
#Thuglife"
10,Sat Mar 28 03:20:50 +0000 2020,bella,3365249679,503,0,4,RT @mendoza64__: So since this is my last year of high school it’s time to come out the bag.. I’m gay and I don’t care who has a problem wi…
11,Sat Mar 28 03:08:31 +0000 2020,Mamata Borthakur,72048003,804,0,0,#ThugLife https://t.co/NyCfT4GABQ
12,Sat Mar 28 03:01:59 +0000 2020,Imurge ThugWear,498999878,181,0,0,coronaaaaaaaaaa #covid_19 🤣🤣🤣🤣🤣 #thuglife 😆 https://t.co/cJ8bbd5lJg
13,Sat Mar 28 03:00:57 +0000 2020,Imurge ThugWear,498999878,181,0,0,what a reflex for #corona #covid_19 #thuglife 😆 https://t.co/FUApySM3Fw
14,Sat Mar 28 03:00:18 +0000 2020,Imurge ThugWear,498999878,181,0,0,this is serious about his 6 feet #corona #covid_19 #thuglife 😆 https://t.co/fF93DWCBXB
15,Sat Mar 28 02:29:00 +0000 2020,Laura L. Kirby,241236162,399,1,0,#thuglife #ThugLifeMedal #MiniMike https://t.co/IohIEkvNS6
16,Sat Mar 28 02:24:52 +0000 2020,GOT DAMN SAMM!,28308170,11131,0,6,"RT @HotNewHipHop: .@slimthugga represents Houston's finest with his new project #THUGLIFE 

Listen here ⬇️

https://t.co/hc0m88PPzC"
17,Sat Mar 28 02:23:10 +0000 2020,Misi,1144182126,9462,0,2,RT @Cassperloc: 💪.... GRRRRRRR #REALTHUGMUSIC #THUGBIBLE #THUGLIFE #LIONFOOD #LOCCOASTANOSTRA https://t.co/8YREjg429Q
18,Sat Mar 28 02:21:37 +0000 2020,BLACC GODDE$$,1242513056300597248,63,0,3,RT @Cassperloc: BUILD YOUR IMMUNE SYSTEMS UP AS BEST AS YOU CAN... IT MAY NOT PREVENT CV BUT MAYBE IT CAN BOOST YOUR IMMUNE SYSTEM ENOUGH T…
19,Sat Mar 28 02:20:50 +0000 2020,CA$$PER LOC™©,270227961,145186,0,2,RT @Cassperloc: 💪.... GRRRRRRR #REALTHUGMUSIC #THUGBIBLE #THUGLIFE #LIONFOOD #LOCCOASTANOSTRA https://t.co/8YREjg429Q
20,Sat Mar 28 02:20:40 +0000 2020,CA$$PER LOC™©,270227961,145186,3,2,💪.... GRRRRRRR #REALTHUGMUSIC #THUGBIBLE #THUGLIFE #LIONFOOD #LOCCOASTANOSTRA https://t.co/8YREjg429Q
21,Sat Mar 28 01:52:07 +0000 2020,CA$$PER LOC™©,270227961,145186,0,1,RT @Cassperloc: I THUG &amp; GO HARD... GOTTA GET IT SO I HUSTLE💰💰.... IF IT AIN’T ABOUT THE MONEY💵 I AIN’T MOVIN A MUSCLE💪.... GRRRRRRR #REALT…
22,Sat Mar 28 01:51:09 +0000 2020,CA$$PER LOC™©,270227961,145186,0,3,RT @Cassperloc: BUILD YOUR IMMUNE SYSTEMS UP AS BEST AS YOU CAN... IT MAY NOT PREVENT CV BUT MAYBE IT CAN BOOST YOUR IMMUNE SYSTEM ENOUGH T…
23,Sat Mar 28 01:51:06 +0000 2020,CA$$PER LOC™©,270227961,145186,2,1,I THUG &amp; GO HARD... GOTTA GET IT SO I HUSTLE💰💰.... IF IT AIN’T ABOUT THE MONEY💵 I AIN’T MOVIN A MUSCLE💪.... GRRRRRR… https://t.co/a98L8fCEFe
24,Sat Mar 28 01:36:59 +0000 2020,La Diosa K,724944312,802,0,3,RT @Cassperloc: BUILD YOUR IMMUNE SYSTEMS UP AS BEST AS YOU CAN... IT MAY NOT PREVENT CV BUT MAYBE IT CAN BOOST YOUR IMMUNE SYSTEM ENOUGH T…
25,Sat Mar 28 01:34:06 +0000 2020,Amanda Bates,304019893,49,1,0,#potus #trump #donaldtrump #comedy #funny #funnyaf #lmao #parody #gangstasparadise #thuglife #trumplife #gangsta… https://t.co/uMSKSlmPBH
26,Sat Mar 28 01:28:09 +0000 2020,CA$$PER LOC™©,270227961,145186,4,3,BUILD YOUR IMMUNE SYSTEMS UP AS BEST AS YOU CAN... IT MAY NOT PREVENT CV BUT MAYBE IT CAN BOOST YOUR IMMUNE SYSTEM… https://t.co/ppVBQcdjsg
27,Sat Mar 28 01:15:39 +0000 2020,Rajni,1166599629460377600,14,0,5,"RT @PMalangwani: Wah what a co-incidence 😁😜
#NaRbhi moment nhi milega toh apna khudka bana lenge akhir fans kiske hai😜🌚 #ThugLife😎 @NakuulM…"
28,Sat Mar 28 01:15:29 +0000 2020,rach,2242553541,1425,1,0,@AlexFaulk2 #thuglife
29,Sat Mar 28 01:07:54 +0000 2020,Hot Girl of Hip-Hop ✨,306503868,2424,0,2,"RT @defpen: COVID-19 can't stop @SlimThugga. The Houston native continues to push through with his new project, #ThugLife https://t.co/MMKE…"
30,Sat Mar 28 00:54:51 +0000 2020,Beto RN.,71408495,465,0,0,#ThugLife https://t.co/MHBuwbFiOA
31,Sat Mar 28 00:32:00 +0000 2020,Coke Boy DELLY,26660385,1814,0,2,"RT @defpen: COVID-19 can't stop @SlimThugga. The Houston native continues to push through with his new project, #ThugLife https://t.co/MMKE…"
32,Sat Mar 28 00:31:49 +0000 2020,Def Pen,18650071,10144,1,2,"COVID-19 can't stop @SlimThugga. The Houston native continues to push through with his new project, #ThugLife… https://t.co/8yTcdfky2t"
33,Sat Mar 28 00:13:18 +0000 2020,IQ89/無年金障害者では幸せに生きれない_INFP発達障害者_Thy,1160705917664423937,211,0,2,RT @Metallidave: ...just sayin'. #ThugLife #INFJ #Introvert https://t.co/9tXmNGbXKw
34,Fri Mar 27 23:47:06 +0000 2020,Hazalouuu,3063465967,295,0,1,RT @evnsgm: #thuglife 😎
35,Fri Mar 27 23:43:22 +0000 2020,Ryne McNary,45206280,596,0,0,"Once a thug, always a thug. #ThugLife #RichAf #Swag @ Minneapolis, Minnesota https://t.co/atHvqBQRWP"
36,Fri Mar 27 23:31:29 +0000 2020,Minister of Mayhem ⚒,1646557363,157,0,0,"Quarantine porch party #thuglife #rideordie #mogwai #stayhome #cabinfever @ Waxahachie, Texas https://t.co/hQzmVHnkrw"
37,Fri Mar 27 23:24:13 +0000 2020,Andrew K,1558648286,808,1,0,"If you own #Stocks you Should use the #Product . 

@Nat42nd 
@SteMichelle 

All products of these #Companies that a… https://t.co/hNSNW8HJSA"
38,Fri Mar 27 23:14:42 +0000 2020,KING 👑,115208382,402,0,0,Joe Exotic is not Fckn playing with Carol. #thuglife #TigerKing
39,Fri Mar 27 23:12:15 +0000 2020,Jmacglobal,33037625,34633,0,0,If you ain't listening you missin' out... My boy slimthug blessing us with something to make #quarantine a little m… https://t.co/9eOX8DDGtK
40,Fri Mar 27 23:08:11 +0000 2020,steven nicholson,29794884,460,0,0,Not even 730 and I’m going to bed #thuglife
41,Fri Mar 27 22:59:41 +0000 2020,Drunk House Plant,158451572,173,2,0,HAHAHAHHAHAAAAOMG soyapo mormon neighbors trying to bump gangsta rap with their dad in the driveway... uh oh lookou… https://t.co/hWy0ARVjZL
42,Fri Mar 27 22:56:03 +0000 2020,Slat,1006930069342781442,33325,0,6,"RT @HotNewHipHop: .@slimthugga represents Houston's finest with his new project #THUGLIFE 

Listen here ⬇️

https://t.co/hc0m88PPzC"
43,Fri Mar 27 22:51:01 +0000 2020,evn,1123708875935494144,34,2,1,#thuglife 😎 https://t.co/xjsIwNiokv
44,Fri Mar 27 22:47:15 +0000 2020,John Seeley,923883858,1264,0,0,RT @errollouis: #thuglife https://t.co/IfI8pHkCxP
45,Fri Mar 27 22:47:12 +0000 2020,Mohamed Tarek,832190450169761794,1585,0,697,"RT @2PAC: ""What you feed us as seeds, grows and blows up in your face. That's #THUGLIFE."" #2PAC #Tupac https://t.co/Iugz1kkgQT"
46,Fri Mar 27 22:39:32 +0000 2020,John William Schiffbauer,871272634339778560,1585,0,0,RT @errollouis: #thuglife
47,Fri Mar 27 22:36:47 +0000 2020,Errol Louis,16376937,46410,13,0,#thuglife https://t.co/IfI8pHkCxP
