,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Wed Apr 03 19:31:26 +0000 2019,tonikun,1319201532,341,0,246,"RT @teloresumo: Che @YouTubeEspanol @YouTube @TeamYouTube Tengo varias reclamaciones de copyright de una empresa llamada ""AdRev for a 3rd P…"
1,Wed Apr 03 19:31:26 +0000 2019,yoko,809142838701211648,90,0,2,RT @DainaMurel: Dainá - Complaining [Music Video] https://t.co/SeU3BiuORT via @YouTube https://t.co/l1z5aMMNYf
2,Wed Apr 03 19:31:26 +0000 2019,Manuel Salogni,507920212,183,0,0,@foscarini94 @Spinuz94 @YouTube Stai zitto Alessio
3,Wed Apr 03 19:31:26 +0000 2019,Jeanette Lynne°¬°,109119413,958,0,0,New video is up! Billie Eilish - Wish You Were Gay (Cover) https://t.co/BX7aYjdMTK via @YouTube
4,Wed Apr 03 19:31:25 +0000 2019,peace,849371043391315969,0,0,0,Abraham Hicks 💜 Daily Trick Which Will Bring You Lots Of Money! 亚伯拉罕希克斯💜... https://t.co/t8eRpSFNBm via @YouTube
5,Wed Apr 03 19:31:25 +0000 2019,kencysinato,3325212995,313,0,0,Enigmatica 2 Expert Episode 12 Astral Sorcery Attunement  (Modded Minecr... https://t.co/vvNRj2OFcz via @YouTube .… https://t.co/KQm7G6ML9p
6,Wed Apr 03 19:31:25 +0000 2019,Te Amo Igoa ⛄️,2920348523,378,0,45,"RT @vegetta777: Gracias una vez mas a @YTCreators @YouTubeGaming  7 min, 7 ME GUSTA 13 visitas. 26 Millones de suscriptores. Respuesta de @…"
7,Wed Apr 03 19:31:25 +0000 2019,鮭乃らるかん,2326567518,92926,0,0,Dua Lipa - Lost In Your Light (Glastonbury session) https://t.co/t44uT5eucN @YouTubeより
8,Wed Apr 03 19:31:25 +0000 2019,Rahul,747844678200877056,29,0,0,👍 on @YouTube: The Galaxy Note 10 Secret Selfie Camera https://t.co/kDnucDPAl4
9,Wed Apr 03 19:31:24 +0000 2019,MAZAVS,1859674910,5,0,0,SCUM ★ Patch#0.1.29.12610 ★ GamePlay ★ Ultra Settings https://t.co/W8SIkuAGA4 с помощью @YouTube
10,Wed Apr 03 19:31:24 +0000 2019,Kim Taylor,25704389,5586,0,0,Will be watching this. It’s debuting on @YouTube https://t.co/22vsAfIQgc
11,Wed Apr 03 19:31:24 +0000 2019,King_Esr,463493398,87,0,0,"Mustard, Migos - Pure Water https://t.co/GPCDeLharC via @YouTube"
12,Wed Apr 03 19:31:24 +0000 2019,Keiji Yoshiki,104234968,10747,0,2,RT @latuzita: #ÁlvaroCuevaEnLaSaga con Marjorie de Sousa y Jorge Salinas #UnPoquitoTuyo https://t.co/wX1DtiNoTT vía @YouTube
13,Wed Apr 03 19:31:24 +0000 2019,Rahul,747844678200877056,29,0,0,👍 on @YouTube: I'm switching to the Huawei P30 Pro https://t.co/jm4obMr1rg
14,Wed Apr 03 19:31:24 +0000 2019,Andres Mora,61544567,214,0,246,"RT @teloresumo: Che @YouTubeEspanol @YouTube @TeamYouTube Tengo varias reclamaciones de copyright de una empresa llamada ""AdRev for a 3rd P…"
15,Wed Apr 03 19:31:24 +0000 2019,DCW SHOW,915739152343281665,77,0,0,TOMORROW IS THE BIG DAY FOR DCW SHOW EPISODE 1 DEBT AT 9.00 P.M ON @YouTube  DON T MISS IT
16,Wed Apr 03 19:31:24 +0000 2019,Jorge Galdames,94726272,2145,0,246,"RT @teloresumo: Che @YouTubeEspanol @YouTube @TeamYouTube Tengo varias reclamaciones de copyright de una empresa llamada ""AdRev for a 3rd P…"
17,Wed Apr 03 19:31:24 +0000 2019,Dominique Lindal Smith,1107815320553746433,13,0,31,"RT @UpUpDwnDwn: Could @TrueKofi become a DOUBLE CHAMPION this week?! Tune into the #UUDD @YouTube channel on Thursday, April 4th at 9pm EST…"
18,Wed Apr 03 19:31:24 +0000 2019,Jacqueline Melendez,50277860,117,0,0,Please like and share my video. Abstractpaintings 2019 https://t.co/OEW8EIrDZy via @YouTube
19,Wed Apr 03 19:31:23 +0000 2019,FASHIONISTASIMS👗🐇🐣🐥🐰😘❤️,2460683083,511,0,2,RT @NicoleHayes1998: He is an adorable toddler! What is the gender?  Morty Ages Up + Gender Reveal! 👶| The Sims 4 100 Baby Challenge: - Par…
20,Wed Apr 03 19:31:23 +0000 2019,Normandiee SHAKKOAPEE rise wake of the dead D-Day,1100096679880069126,1,0,0,Zarqawi Vonage Parody https://t.co/g2Pi1sc15U via @YouTube
