,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Wed Apr 03 22:11:51 +0000 2019,BrewCityArcade,1044382516323524608,12,0,0,Check out the new #BrewCityArcade video! Risk of Rain 2: Episode 4 - Glitchy Game - Brew City Arcade - Let's Play C… https://t.co/VQbXNjLH5b
1,Wed Apr 03 22:11:50 +0000 2019,DiGi GamingTV,1097411287418634240,3,0,0,Kein erfolgreicher Start in die neue #iRacing Woche mit einem 13ten Platz in #Imola! Leider war das Auto nach 3 Tur… https://t.co/43we8fQwjq
2,Wed Apr 03 22:11:45 +0000 2019,Rpapou,1866979910,485,0,8,"RT @TheEmily777: My brother and me are starting a #YouTube channel aimed at exposing #Hollywood for liberal bias, agenda, and altogether sh…"
3,Wed Apr 03 22:11:42 +0000 2019,渡辺 葵,927172068424032256,20,0,0,"https://t.co/diBLItVwFD

#youtube #instagram #インスタ映え #インスタグラム #与那覇漢房長官 による #新元号発表 #勇気 #新時代 #めで鯛"
4,Wed Apr 03 22:11:39 +0000 2019,Sam Susi,1107424222740127744,345,0,1,"RT @MrsWilkins4Real: LIKE! SHARE! SUBSCRIBE!
https://t.co/44AVb0D4Pn
#NipseyHussle #YouTube #blacklivematter #BlackTwitterMovement"
5,Wed Apr 03 22:11:39 +0000 2019,Sam Susi,1107424222740127744,345,0,1,"RT @lisa_allender: We have finally started our YouTube journey! Please like, subscribe, and share! 
#intro #weightloss #lifestylechange #jo…"
6,Wed Apr 03 22:11:32 +0000 2019,So-Star,752325773390938112,248397,0,246,"RT @SoStarMusic: 🎼#Music #NewMusicAlert 🎧#Mp3 #YouTube #NewMusic
#Share #LoveMusic #MusicIsLife 

The Way That Our Eyes First Met ~ So-Star…"
7,Wed Apr 03 22:11:15 +0000 2019,ゲーマー魂＠実力者紹介,2358709974,348,0,0,"今一番面白いYouTuberはこいつだ！！！

https://t.co/6epnQc2xxr
　#YouTube　#YouTuber　
 #拡散希望RTおねがいします 
#拡散希望 
#誰でもどうぞ 
#誰でもRT… https://t.co/jjATW4LVW2"
8,Wed Apr 03 22:11:08 +0000 2019,Lisa_Allender,774484992,15,0,1,"We have finally started our YouTube journey! Please like, subscribe, and share! 
#intro #weightloss… https://t.co/bWKxTfCQ9I"
9,Wed Apr 03 22:11:08 +0000 2019,人工知能AI.相互チャンネル登録YouTubeカンガル君2号,1103053118042861568,173,0,0,"ワタシハ人工知能AIデス
相互YouTuberを探索中…デス
#相互チャンネル登録 #相互フォロー #相互登録 #YouTuber #YouTube #ユーチューブ #ユーチューバー"
