,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Wed Apr 03 19:47:36 +0000 2019,Bill Stroud,818516652899926017,20561,1,1,Hungary's illegal immigration plunges over 99% after building border fence https://t.co/hATvMvMlzA via @YouTube
1,Wed Apr 03 19:47:36 +0000 2019,Jacqline Lee,3075515652,2681,0,0,Former FBI Agent: CIA Director John Brennan Is a Muslim https://t.co/nCVvloQXNm via @YouTube
2,Wed Apr 03 19:47:36 +0000 2019,Fato,2201811521,186,0,0,Rober Hatemo - Beyaz Ve Sen (Official Audio) https://t.co/v7wHjtUKXj @YouTube aracılığıyla
3,Wed Apr 03 19:47:36 +0000 2019,Tecnológico Somoto,804363536071819264,103,0,0,Video Instructivo de registro INATEC https://t.co/2l2n3otk6x vía @YouTube
4,Wed Apr 03 19:47:36 +0000 2019,Veritate,1105291635552907264,4,0,0,@profpaulamarisa @brasil_paralelo @YouTube #1964OBrasilEntreArmasELivros
5,Wed Apr 03 19:47:36 +0000 2019,Кирилл Озерецковский,1089444262469619713,29,0,0,2Pac ft. Notorious B.I.G - God Bless The Dead (DJ Nabz &amp; Miqu Remix) https://t.co/5GDvzLJ1Iz via @YouTube
6,Wed Apr 03 19:47:35 +0000 2019,Jim Harrison,807679286203162624,113,0,0,1963 communist checklist is mostly ticked off - US Cda Europe almost there - communism runs under banners of Democr… https://t.co/IkT66AV8Xs
7,Wed Apr 03 19:47:35 +0000 2019,Αλέξης,745091221,1879,0,0,Dave Matthews Band feat Warren Haynes - Cortez The Killer https://t.co/DmyR0u7loo μέσω του χρήστη @YouTube
8,Wed Apr 03 19:47:35 +0000 2019,Mike Eiseman,68568061,537,0,0,On Location: Back to the Future (1985) Teaser Trailer https://t.co/KIYIZ0A2kB via @YouTube
9,Wed Apr 03 19:47:35 +0000 2019,Feel The Bern,1031917907364605953,331,0,1,RT @FeelTheBern01: Alexandria Ocasio-Cortez Calls for Chelsea Manning to be Released https://t.co/sHUsjPXk9b via @YouTube
10,Wed Apr 03 19:47:35 +0000 2019,へりお,592636611,577,0,0,【川柳】575オンラインでボコボコにされました… https://t.co/oYqWREdFQr @YouTubeさんから
11,Wed Apr 03 19:47:34 +0000 2019,TRUMP TIGHT USA,726975890517716992,386,0,0,#PresidentTrump #FirstLadyMelania #MAGA #BuildTheWall #AmericaFirst #USA  https://t.co/QwopfTSUMV via @YouTube
12,Wed Apr 03 19:47:34 +0000 2019,Jade Elizabeth,821806362221047808,241,0,0,@Farideraful @edithfebles @YouTube Se te nota el odio y la falta de objetividad. Tus últimos tweets solo son de eso… https://t.co/iBKMZFzIbD
13,Wed Apr 03 19:47:34 +0000 2019,Skuld ᛏ,2419278078,175,0,0,Y lo que me absolutamente encanta esta canción..... 🖤 In Flames - Stay With Me (Official Audio) https://t.co/RTqzvzpihr vía @YouTube
14,Wed Apr 03 19:47:34 +0000 2019,мêℓ -247🐒🌰🚀☁️,272658911,992,0,543,"RT @teloresumo: Che @YouTubeEspanol @YouTube @TeamYouTube Tengo varias reclamaciones de copyright de una empresa llamada ""AdRev for a 3rd P…"
15,Wed Apr 03 19:47:34 +0000 2019,Jhon Yañez,319186934,36,0,1,"RT @Finaltrap17: Llegamos a un templo muy Peculiar en esta Epica Montaña Celeste, Espero que les guste y RT Para Mas en el canal!

https://…"
16,Wed Apr 03 19:47:33 +0000 2019,cherrynightcore,2479014500,353,1,0,Nightcore - Weird Dream https://t.co/OegGmLiPXy via @YouTube
17,Wed Apr 03 19:47:33 +0000 2019,WOKE,601410137,1084,0,0,#DaveEast Visits #FunkFlex To Share His Thoughts About #NipseyHussle (R.... https://t.co/meRvpvXUPR via @YouTube
18,Wed Apr 03 19:47:32 +0000 2019,🦇🎩Madame Raven🌹❄️💀,840722086809219076,1321,0,0,"I love anime Horror. I got hooked as a kid with Vampire Hunter D. I would also suggest Hellsing and another.

The P… https://t.co/OTT3f6Qd68"
19,Wed Apr 03 19:47:32 +0000 2019,Hayatsune＠バンドリ,85625537,1457,0,0,【RAISE A SUILEN(ゲスト:前島亜美)】ライブ映像「もういちど ルミナス」【THE THIRD(仮) 2nd ライブ】 https://t.co/fBxBqG0x1N via @YouTube
20,Wed Apr 03 19:47:32 +0000 2019,Emily & Lewis,1011762454479626241,877,0,0,@nachocubamex @YouTube Thanks friends
21,Wed Apr 03 19:47:32 +0000 2019,Mom Hatter,967511296957603840,5497,1,0,@moderndadpages @DaddyPoppinsBlg @RobinsoMartina @DorkusRob @CuddleFairy @Pickinguptoys @YouTube @OMGitsagirl2015… https://t.co/NDb1xVJS76
22,Wed Apr 03 19:47:32 +0000 2019,Josée Légaré,1228155372,39,0,0,Lauren Cohan 'Whiskey Cavalier' Interview / Live with Kelly and Ryan Apr... https://t.co/ppMwc5NYeN via @YouTube
23,Wed Apr 03 19:47:32 +0000 2019,Biagio Della Malva,493010834,959,0,0,"Israele, l'assemblea degli ordinari cattolici di Terra Santa denuncia ra... https://t.co/M6yvkeIBJN di @YouTube"
24,Wed Apr 03 19:47:32 +0000 2019,Eftelwesley,631101959,2578,0,0,Piraña stilgevallen na stroomstoring #Efteling 03-04-2019 https://t.co/UU9bVofash via @YouTube
25,Wed Apr 03 19:47:32 +0000 2019,Daniel Munoz Munoz,71397015,593,0,0,"3D-Printed Home Can Be Constructed For Under $4,000 https://t.co/2GGn7HBW71 via @YouTube"
26,Wed Apr 03 19:47:31 +0000 2019,MondoXbox,346930158,5852,0,0,Borderlands The Handsome Collection Gratis con Gold en la Store de Xbox ... https://t.co/CLSfPCIRlB vía @YouTube
27,Wed Apr 03 19:47:31 +0000 2019,BostonSoldierOfGod,75139209,1219,0,0,FREEEZ - I.O.U. (MEGAMIX) (℗1983) https://t.co/08C0rAvYWp via @YouTube
28,Wed Apr 03 19:47:31 +0000 2019,Jeff,1102268984,263,0,0,@MesaSean @YouTube Or you should actually read the leaks before you post misinformed content about it? These leaks… https://t.co/D9VeykloZ7
29,Wed Apr 03 19:47:31 +0000 2019,Zoe,805850931262853120,341,0,0,@The_Blade_77 @YouTube Yesss 🙌🏻🙌🏻🙌🏻
30,Wed Apr 03 19:47:31 +0000 2019,عبير,1055698522442489856,2,0,0,Маша та Ведмідь: На кухні з Машею (всі серії підряд) Masha and the Bear https://t.co/qELB3XNmOc عبر @YouTube
31,Wed Apr 03 19:47:31 +0000 2019,RT Canales Youtube,492584226,961,0,3,"RT @ZKGamer7: 💣 Habilidades de AJAX 💣  ESPECIALISTAS 👉 Call Of Duty Black Ops 4 https://t.co/TTSZOB3yit vía @YouTube @AyudaJugador 
@Promo_…"
