,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Thu Apr 04 00:50:32 +0000 2019,りっちょん(￣･･￣)♥♥♥4,99217225,2469,0,1,RT @6002_info: [랭킹 정보] 今週のSNS人気曲ランキング 1位にTOMORROW X TOGETHER 「CROWN」。ピックアップにPark Yu Chun、君島大空 | Spotify週間バイラルチャート https://t.co/VDkFZd5MZx #…
1,Thu Apr 04 00:50:23 +0000 2019,"Wire Radio, Hit Music",226391940,3488,0,0,Now on air :  RagnBone Man - As You Are #Hitmusic  #NewMusicFriday #music #soundcloud  #newmusic #newmusicfriday… https://t.co/cdMM6zMHmV
2,Thu Apr 04 00:50:00 +0000 2019,deb,1034374916634595328,156,0,540,"RT @BTS_ITALIA: [#GIVEAWAY 🇮🇹] SPOTIFY 🎧
Avete due settimane di tempo per non farvi sfuggire questa super occasione 👀👀👀
Grazie di cuore per…"
3,Thu Apr 04 00:49:50 +0000 2019,Premunition Rock,152492459,6253,0,0,#Wednesdaymusic @Premunition #RocknRoll #oldschool #rocknrollers #Spotify and #iTunes https://t.co/noR9c2s4ma #NowPlaying
4,Thu Apr 04 00:49:30 +0000 2019,.Srta.Sarcastica ·,172126636,746,0,137,"RT @UMArgentina: Ya salió el álbum de @billieeilish ""When We All Fall Asleep, Where Do We Go?""¡Dale play acá en #Spotify!"
5,Thu Apr 04 00:49:29 +0000 2019,都田テクノ,3961403352,188,0,0,"https://t.co/ysmbfmLEPg
#ibiza #electro #techno #club #テクノ #art #popart #芸術 #絵 #soundcloud #music #beatport #itunes… https://t.co/E3B9YoBZin"
6,Thu Apr 04 00:49:03 +0000 2019,🎶🎶🌎🎶🎶,733043383824986114,1266,0,1,"RT @TallTree_Hippy: @soundcloudtrap Coming Soon to #Spotify Now Available On #SoundCloud
 this was all made by @prodnotme @_killchris_ 

 m…"
7,Thu Apr 04 00:49:03 +0000 2019,Premunition Rock,152492459,6253,0,0,#Wednesdaymusic @Premunition #RocknRoll #oldschool #rocknrollers #Spotify and #iTunes https://t.co/2Dv8n5rfSY #NowPlaying
8,Thu Apr 04 00:48:48 +0000 2019,CRUCIAL_BEEN_GOOD,34290792,1693,1,0,From @zdk305  -  It’s out now y’all go check out my new single “wave” prod by @truth_hitz on all major platforms… https://t.co/Q44vr3Ynil
9,Thu Apr 04 00:48:37 +0000 2019,Asmara Sukma,2737598569,6842,0,0,"Apple Music Premium Free
https://t.co/ijhWyf5kYq
#spotify #apple #iphone #google"
10,Thu Apr 04 00:48:28 +0000 2019,𝙝𝙚𝙖𝙧𝙩𝙨𝙜𝙞𝙧𝙡 ♡,752780338259038208,8,0,0,"หาบ้านหาร spotify ค่า รายปีหรือรายเดือนก็ได้;-; รับเราไปอยู่ด้วยที😢
#หารspotify #Spotify https://t.co/yYCTUqhdwd"
