,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Wed Apr 03 19:57:13 +0000 2019,Frank White,792905749621936128,58,0,0,@OANN @YouTube I agree.
1,Wed Apr 03 19:57:12 +0000 2019,Kayla.,1091269502870978560,455,0,1,RT @Tokaint: Why I made the @coryxkenshin 𝐇𝐨𝐫𝐫𝐨𝐫 𝐠𝐚𝐦𝐞 Better to Upload | ɪɴᴛʀᴏᴅᴜᴄᴛɪᴏɴ https://t.co/zxPKbljS0d via @YouTube Go Check out ma…
2,Wed Apr 03 19:57:12 +0000 2019,De' 💜🌈✊🏾,159614741,392,0,332,"RT @KyleKulinski: To everybody flipping out about Bernie going on Fox News, here's a clip from 2017 of Bernie getting *a room full of Trump…"
3,Wed Apr 03 19:57:12 +0000 2019,UATV Channel,2831402034,749,0,0,Контемпорарі | Про ART https://t.co/zA0sqHwWbd через @YouTube
4,Wed Apr 03 19:57:12 +0000 2019,Ant Morini,98190759,144,0,0,@mandolinfoster @YouTube Hopefully soon. Still working on it a little 😊
5,Wed Apr 03 19:57:11 +0000 2019,FLOOD CONTROLS NY-NJ,856170366867296257,480,0,1,RT @JosephDeMauro1: America's current infrastructure bad for business? https://t.co/gHOCz4le8w via @YouTube
6,Wed Apr 03 19:57:11 +0000 2019,jessyka power,82375718,75,0,0,"CHRISTIANS
STAND TALL
OUR CHRIST IS MARCHING ON AND CRUSHING THE ENEMY
JUST WATCH TV AND SEE YOUR IDOLS GO INTO PSY… https://t.co/mU32JQo3h1"
7,Wed Apr 03 19:57:11 +0000 2019,jorge santacruz,273019609,141,0,0,🥇TOP 100 MEJORES JUEGOS DE PS1 DE LA HISTORIA (20-11) para la Playstatio... https://t.co/7EsNR7xogc vía @YouTube
8,Wed Apr 03 19:57:11 +0000 2019,"Tyler Stevenson (Tyler,The Destroyer)",812286631172538368,386,0,10,"RT @bassXsantana: Bass Santana, XXXTentacion &amp; Ski Mask The Slump God - Make Eem Run! (Liv... https://t.co/RwOw2029i6 via @YouTube"
9,Wed Apr 03 19:57:11 +0000 2019,David Soto Barrera,188179261,964,0,0,Paulina Rubio - Si Te Vas https://t.co/LFlJrmOgKc vía @YouTube
10,Wed Apr 03 19:57:11 +0000 2019,Денис Петровский,885131952772325376,3,0,0,Шарм-эль-Шейх отель 5 звезд / Вот куда поехать отдыхать на майские / Оте... https://t.co/NZ3zi2p2MC с помощью @YouTube
11,Wed Apr 03 19:57:11 +0000 2019,Ustazy,940400320370434048,890,0,1,RT @ustazydotorg: Our children go downtime twice a week with their mum. Watch this funny cartoon with our English teacher to learn new Engl…
