,Created At,Screen Name,User ID,User Follower Count,Likes Counts,ReTweet Count,Tweet Text
0,Wed Apr 03 22:19:17 +0000 2019,Check Bio,1075635037293424640,110,0,11,RT @SanTenChan: #Four #nighttalk on #books! #Quattro #chiacchiere di #notte sui #libri! #SanTenChan @SanTenChan #YouTube #VideoBlog #VBlog…
1,Wed Apr 03 22:19:08 +0000 2019,Kimberly Renee,23680918,912,0,0,"‼️This week’s video went up on Monday. 🗣Go watch it, then give it a 👍🏾 (if you like), abs please subscribe. Thanks!… https://t.co/YRcqDE1Ass"
2,Wed Apr 03 22:19:01 +0000 2019,PhysicalPresence,4885677179,2746,0,0,Live on twitch with the LayZe Gaming team playing ranked! Come show some love over here at https://t.co/veaHeqDfoQ… https://t.co/zsfaoWfYqn
3,Wed Apr 03 22:18:58 +0000 2019,ImLiveRT,857019003826348032,12995,0,2,RT @TheSpiderwoman1: I am live! Come join me! https://t.co/9ivTjoO7ZS #stream #facebook #youtube #SupportSmallStreamers #twitch #gamer #gam…
4,Wed Apr 03 22:18:56 +0000 2019,Youtube Tips For You,750826231008993280,1104,0,0,Want to learn How to get More Views on #Youtube? Then ask these questions! 😄 ► https://t.co/eHCG36usP2 👈 https://t.co/SSgQGImqJ2
5,Wed Apr 03 22:18:56 +0000 2019,Check Bio,1075635037293424640,110,0,13,RT @SanTenChan: A #reading of the #Gospel of #Philip Una #lettura #Vangelo di #Filippo #SanTenChan @SanTenChan #YouTube #VideoBlog #VBlog #…
6,Wed Apr 03 22:18:48 +0000 2019,CunningMarvelous,1098899890246021120,168,0,3,RT @FortniteGrindZz: #Youtube #banner #GFXDesigner #GFX #freegfx #freedesign #thumbnail #freeThumbnail #Fortnite #FortniteClips #fortnitede…
7,Wed Apr 03 22:18:47 +0000 2019,Check Bio,1075635037293424640,110,0,13,RT @SanTenChan: A #chat #during the #afternoon #snack #Quattro #chiacchiere #facendo la #merenda del #pomeriggio #SanTenChan @SanTenChan #Y…
8,Wed Apr 03 22:18:41 +0000 2019,Roland Reports,376955768,6902,0,0,#JustinFairfax responded to his accusers with detailed denials of the allegations against him.… https://t.co/rAyL8lcupe
9,Wed Apr 03 22:18:39 +0000 2019,CorruptZeroMC,2269948674,25,0,1,"RT @n3rdroll: See the full #Video on my #Youtube &lt;3 also, thank u @CorruptZeroMC for helping make this vid!

#GMOD #PokemonSwordandShield #…"
10,Wed Apr 03 22:18:38 +0000 2019,Crystal-Starr,164888395,87,0,0,#tunein #today at 1:30pm NZST to #starrsoaps #youtube #channel and #chatlive with me while I #make this #beautiful… https://t.co/T21Y3CcTVT
11,Wed Apr 03 22:18:34 +0000 2019,Steven Jack Butala,19835414,1933,0,0,Today's episode: “Tim Flood Shares His Land Academy Experience (LA 951)”  will be available at 3:00pm pst on our Yo… https://t.co/xP1Ri6RhAY
12,Wed Apr 03 22:18:31 +0000 2019,Ellyyn Lopez,4793368220,11,0,7,"RT @RoxanaAlcarazS: Hoy en el canal #youtube de 
@pepegarza  estara disponible el video musical #HolaQueTal  de @claudioalcaraz 😍

#Claudio…"
13,Wed Apr 03 22:18:31 +0000 2019,OSP FL aka Rebecca Lyn Oberstadt,3820476399,386,0,0,"March 2019 Shop My Stash Recap, What I used and didn't use! 
#YouTube #YouTubersReact #React
https://t.co/VY0FzWJ9G6"
14,Wed Apr 03 22:18:30 +0000 2019,@kakicchysmusic bot,2807532408,1915,0,0,音が好きになるぞ！ー洗脳ー（ReUpload）: https://t.co/y5EvoEo6NH #youtube
15,Wed Apr 03 22:18:21 +0000 2019,CinemaNET,53975347,954984,0,0,"¡CinemaNET en #Podcast! El más reciente Episodio está publicado en #YouTube, mientras trabajamos en restablecer nue… https://t.co/jzMldnhlRP"
